qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
sora07**|핏 딱 좋고 편해요가격대비 정말 좋아서 다른색으로 하나 더 살 생각중인데xl가 없는게 아쉬워요ㅠㅠl도 맞긴 한데 조금 더 넉넉하게 입고싶은..그래도 사이즈는 정사이즈로 나온듯 하네요!!재질도 이정도면 갠찮은거 같구 이뻐요ㅋㅋㅋ
flyk**|진짜색깔도 딱생각하던 색깔이고 바지핏도 예뻐요아니근데제가원래27을입어서 반바지니깐또여유있게입어도될거같아서 m사이즈를 시켰는데 깜짝놀랐어요ㅋㅋㅋㅋl사이즈인줄ㅋㅋㅋㅋㅋ 아니허리가너무커요 아니허리뿐만아니라 걍바지가너무커서주체가안되요 그래서 허리단면길이다시재봤더니 33.5라고적어놓으셨는데 35.5더라구요 티를아무리넣어입어도이건아니에요 주르륵다흘러내려요
flyk**|무난하게생긴데다가 색깔도무난해요또 소재가 시원한소재라서 올여름에자주손이갈것같아요또 입으면적당히커서 여리여리해보여요아근데소매폭이생각보다작더라구요 그점유의하셔야할것같아요
flyk**|구매하고나서 담주부터 날씨가급더워지는바람에 한번도 못입고나가봤어요ㅜㅜㅜㅠ그냥 면인게 더좋을뻔했어요ㅜㅠ그리고 생각보다 가로로엄청엄청크더라구요넣어서입으면되겠지했는데 넣는데도힘들정도로넓어요
flyk**|일단색깔이 딱원하던색이에요 베이지색예뻐요자수도 탄탄하게박혀있어서 좋아요근데 글자자수가 생각했던거와달리좀빨질거려서 그건별로에요 그리고 길이도 너무너무길어요 이건뭐제가키가작아서긴게아니라걍길어요 그래도넣어입으면되니깐요뭐
pqr1**|이거 그냥 귀여워요 마디반지로 해도되고 저는 새끼손가락에도 끼던가 하는데 무난하게 딱 튀지도 않고 잘 끼고 다닙니다ㅋㅋ 귀여워요 옷도 딱히 신경 안쓰고 가볍게 끼고 다니고 해서 별로 후기랄게 없는데 3500원에 이 정도면 괜찮다고 생각을 합니다
pqr1**|그냥 가볍게 집에 있을때바다 이거 신고 다녔는데 어려운것도 없고 운동도 딱히 안해도 되고 그냥 저거만 신어도 되니까 간편하고 편해요 따로 뭘 하는게 아니라서 그냥 집에 있을때마다 신으면 되니까 좋습니다 효과는 아직은 모르겠지만 좀 더 지켜봐야겠죠
soso12**|이티는 개인적으로 제가 상체가좀 왜소한 편이라 이티를 입으면 좀 커보이구그래요 생긴거 자체가 통이 크긴한데 ,,,,두께도 일반 반팔티보다 1.5배 두껍고요 ㅋㅋ
soso12**|분홍 무지티가 후기두 착용샷도 옶어서 걱정했는데 실제로 입어보니 핏도 예쁘고 검정 긴바지에 입으면 짱 예뻐요 ㅋㅋ 여기서 한번에 5벌 샀는데 다 성공한거같아 좋네요!!
dmsgp01**|저는 베이지색 샀어요.색도 괜찮고 기장도 적당해요.흰색이랑 고민하다가 샀는데 후회안해요ㅎ앞으로 자주 입고 다닐꺼 같네요.잘입을게요~
soso12**|분홍 테니스스커트랑 코디할 티 고르다가 이티를 사게됬는데 꽃자수가 일담 너무 이쁘고 아무 바지 치마에나 코디 가능할것 같아요!!
dmsgp01**|이 티 받자마자 너무 크다고 생각했는데 입어보니 역시 크네요..그래도 박시한걸 좋아해서 입을만해요ㅎ담아입으면 괜찮아요.티는 정말 이뻐요ㅎ색이 하나밖에 없어서 아쉽네요.
pmj33**|치마가 좀 짧은거 빼곤 다 좋아요~
soso12**|이티 후기보시는것과 정말 똑같아요 ㅋㅋㅋ 많이 벙하지도 않고 무난해요!!
soso12**|후기보고 괜찮다 싶어서 샀는데 역시나 괜찮네요ㅠㅠ 밑단 접힌것도 자연스럽고 정말 데일리로 무난해요!! 단점은 제가 허리가 얇아서 허리가너무큰것?
dmsgp01**|후기가 많이 늦었네요ㅠ저는 베이지색 샀어요.너무이뻐요~기장은 생각보다 짧네요.그래도 이쁘니까 잘 입을게요ㅎ
suny82**|원래 바지 m 정도 입는데 이번엔 s 주문했어요s주문하길 잘한듯생각보다 펑퍼짐해서 꼭 치마입은 것 같았어요딱 모델핏은 아니지만 자주입을게요
yujin0124**|생각보다 좀짧네요 그래도 이뻐요
yujin0124**|바지 정말이쁜데 저한텐 길이가 좀짧네요 ㅠㅠ 그래도 재질도 좋고 만족합니당
yujin0124**|길이 엉덩이정도오고 회색샀는데 색도이쁘고 정말 맘에 들어요 ㅠㅠㅠ
jhi**|포토리뷰2등요즘 이 종류가 하도 유행이라한번 구매해보았습니다~퍼랭이는 제가 색을 잘 못받쳐입어서검정으로 샀는데받자마자 약간 너무검정인가~당황했는데재질도 괜찮고 길이도 너무길지않고 적당했어요정말 다리모으면 치마고 띄면 바지고ㅎ 재밌는  치마바지예욪살이급격히쪄서 m사이즈샀는데 꽉껴욧ㅋ 늘어남이없는 재질이니 참고하셔용 허리고리부분 좀 늘려야겠어용오늘입고나가야징ㅋ
jhi**|포토리뷰1등편하게 입고다니려고 구매.배딩이있어서 허리에 쫙 조여주는데 끼는것도 아니고 느슨해서 잘맞아요길이도 발목까지 떨어져서 흰색운동화랑 짝이 잘 맞을것같네요 두께도 적절히 두껍고 얇아서 시원할것같아요컬러도 남색계통이라 두루 입어질것같아요단점이 있다면마린넨이다보니 늘어나진않아용  그래도 스키니스타일이 아니라서 품이 낙낙해서 편합니다단지 단점이 하나있는데마린넨이다보니
kym21**|.
wldms35**|기대안한 상품이었는;데 막상 받아서 입어보니 너무 이쁘네요^^역시 고고싱!!!
swat2**|다른 주문한 티들이 박스티여서 하나정도는 타이트한 것을 사려고 보다가 데일리티로 좋아 보여서 산티ㅋㅋㅋ 정말로 모델분들은 말랏다는 생각을 하게되며 다이어트를 결심하게 됫다는ㅋㅋㅋ그ㄹㅐ도 배에 힘주고 다니면 엄~~청~~ 날씬해 보인다는
swat2**|기대안하고 저렴한 가격에 기본티로 주문햇는데 생각보다 질도 색상도 좋아서 깜짝 놀랏어요 그리고 베이지색이라 어느 색상의 하의에도 이쁠거 같아요 데일리티로 아주아주 좋은 잇템인거 같습니다 고고씽은 데일리티들이 질도 좋고 가격도 저렴하고 거기다 이쁘기까지 해서 짱이에요
swat2**|색상이 너무 이뻐요 색상이 밝아서 그런지 얼굴이 확 사는 느낌?? 연한 핑크색이라 아이보리나 연청 하의에 입엇더니 더 이쁜거 같아요 또 이런 색의옷은 타이트한 것보다는 조금 통이 잇어서 여리여리 해보이는 것이 더 이쁘고 잘 어울리는 거 같아요
swat2**|정말 기본적인 티이지만 그만큼 어느 하의에 매치해도 이쁠거 같아여 이 가격에 이정도의 질이면 거져네요 두깨감도 적당히 잇어서 일교차가 큰 날씨에도 아무것도 안 걸쳐도 좋고 통이 커서 한 낮에는 바람이 슝슝 들어와요 그리고 여리여리해보여서 너무 좋아요
