hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
j2h80**|옷이 너무 예뻐요~~ 안감 있어서 지금은 입기 좀 그렇지만 가을이나 겨울에 입으면 딱 인것같아요. 촌스럽지도 않고 이쁨!!!
db47**|살까말까 계속 고민 중이었는데 평이 좋아서 사봤는데 넘 좋네요~Free사이즈라서 저한테 클줄 알았는데 딱맞고 다들 예쁘다고 하네요. 이런풍에 옷을 갖고 싶었는데 싸게 잘구한것같습니다.. 검정치마나 검저바지에도 충분히 잘어울리고 가을이랑 봄에 입을 만합니다.^^
kye10**|이건 좀 저에게는 안어울리네요.하지만 제질은 굿입니다.
kye10**|지금 입기에는 좀 두꺼울수 있으나, 너무나 마음에 듭니다.제질도 좋고  제가 상위쪽에 살이 좀 있는데 커버하기에 적당합니다. 이쁘다고 조카가 달라고 하네요...지도 맘에 들었나봐요. 자주 이용하겠습니다. 배송이 좀 느린것 빼고는 상품은 굿입니다.
mctnq**|배송실수로 받은건데 안예쁨. 귀찮아서 걍 입게요. 가오린데 불편한 가오리. 배송실수로 받은건데 안예쁨. 귀찮아서 걍 입게요. 가오린데 불편한 가오리.
mctnq**|배송실수로 받은건데 예쁨. 그래서 걍 입게요. 배송실수로 받은건데 예쁨. 그래서 걍 입게요. 배송실수로 받은건데 예쁨. 그래서 걍 입게요. 배송실수로 받은건데 예쁨. 그래서 걍 입게요. 배송실수로 받은건데 예쁨. 그래서 걍 입게요. 배송실수로 받은건데 예쁨. 그래서 걍 입게요.
ss501tnwls**|핏도 좋고 크기도 적당어떤 옷이나 바지에 입어도 잘어울려요;~~~
qhrxo12**|평소 바지를 55/26 입어서 시켰는데...허리가 완전 작아요... 못입을정도로..그래서 다른사람 줬네요.. 완전 마른 55 인가봐요..
stud9**|조금 작은감이 없지않은데 디자인도 예쁘고 만족스러워요
stud9**|운동할때 입으려구 샀는데 너무 편하고 시원하고 좋아요
stud9**|아침에 출근길에 입고나왔는데 이렇게 편할수가없어요 가격도 정말만족 착용감도 만족 대만족입니당ㅋㅋㅋㅋ
apfhd**|키가 커서 왠만한 바지 다 짧아보이는데 이바지는 진짜 적당하게 다리도 길어보이는 길이라고 해야 하나 좀 걱정했는데 걱정에 비해서 너무 이뻣어요
kanghong05**|아니 목부분이 딱달라붙지를않아서 완전별로 애초에 목부분이 늘어난옷이와서 완전 실망했음
apfhd**|저한테는 살짝 여유있게 핏이 있었는데 살집있으신 분들은 조금 타이트 할거 같아요 옷자체는 되게 좋았어요
apfhd**|너무 심플하고 귀여워서 무슨 하의를 입든 다 잘 어울리는거 같아요 옷도 박시하고
apfhd**|이가격에 이정도 나시라니 되게 효율성좋고 이너용으로도 좋고 너무 만족해요
jihyeon**|고고싱 자주 애용하는데 리뷰는 처음 남겨보네요^^리메이크 박스셔츠!데일리 룩으로 진짜 너무 좋아요길이감도 짧지 않고 무엇보다 핏이 너무 예뻐요초여름까지 입기 좋은 안감까지!데일리 룩으로 추천!추천!
