youn49**|이쁘네요.색감도 좋고 옷 질도 좋구요.다만 길이가 어정쩡해서 바지안에 넣기는 좀 길고 원피스로 입기는 짧고~!그래도 감안해서 입을 만큼 디자인은 이뻐요.
gjdbwls11**|이뻐요
minj12**|검정색 M 사이즈를 샀는데 좀 작네요제가 요즘 살이 쪄서ㅜ.ㅜ일단 바지는 쪼끔 끼지만 몇번 입다보니 늘어났어요그리고 활동하기 편하네요다른 색 바지도 재구매할 생각이네욤~.~고고싱 번창하세요!!
stars**|낮엔 더워도 아침저녁으론 선선해서 걸칠 카디건이 필요했는데품절이어서 한참기다려서받았네요두께나 감은 좋은데 생각보다 좀 넉넉? 프리사이즈에 허리선 없이 품이 많이커서 제가44~55입는데 좀 부해보이는느낌ㅎ 디자인이 심플해서 약간 더 밋밋한느낌이에요 좀 큰사이즈 입으시는 분들한테는 딱 맞을거 같네요^^
mm**|핏이쁘고 재질도좋아요 가격대비 만족입니다 ㅎㅎ
dbgpfl**|"카키색으로 구입햇는데 깔끔해서 너무 좋은거같아요일반티는 목이 늘어나는데 이건 목부분이 잘 안늘어나게만들어진거같아 만족하고잇습니다|!저렴한가격대비 질이 아주 좋은거 가테용ㅎㅎ 몸매 커버도 되눈 넉넉함이라 딱이네요!!!"
hran**|옷이 정말 얇고 시원한 재질이에요~ 딱 바랐던 스타일!살짝 비침있구요, 촉감은 부드러워요161 기준으로 엉덩이 충분히 가립니다그런데 받았을 때 옷 안쪽에 새끼 손톱 반 정도의 오염이 있었어요ㅠㅠ살짝 피가 마른 색의 갈색 느낌이였는데 그것만 아니면 다 괜찮아요~잘 입을게요^^
chw9**|벨트 구멍이 엄청 많더라구요 !! 그래서 좋아요 자기가 할수 있는 곳에 할수 있어서근데 저한테는 큼. 뒤에 구멍을 더 뚤어서 잘 하구 다니려구요 ~~~고고싱제품은 너무 다 마음 에 드는 거 같아염 그리고 제목처럼 진짜 심플하고 베이직한 디자인이고너무 마른 사람들은 뒤에 떠 뚤어서 하구 다니셔야할거에요ㅜ
gjwnsducls**|모델분이 굉장히 마른편이신 것 같아요 ㅠㅠ 제가 입으니까 배기는 커녕 스키니네요. 허리는 딱 좋게 맞는데 라인이..배기가 아닙니다ㅠㅠ  근데 굉장히 편하고 디자인 예뻐서 그냥 입고 다니기에도 좋아요.
gjwnsducls**|예쁘네요. 청바지에 입어도 예쁘고 반바지나 치마와 매치해도 이쁠듯 하네요.
chw9**|짱커요 ! 원피스로 입긴 이쁜대 반팔은 너무 큰거같아요 !저한테는 ㅋㅋㅋㅋ 그냥 큼 . 짱큼 . 마른사람 입지말아요~ ~그래두 생각보다 배송은 빨랏어요 !! 이거 인기많아서 엄청 늦게받을줄 알았는디요
sjoo4**|평소에 바지27사이입어서 m은 입어야할줄알았는데좀크네요ㅎㅎ 사이즈s로 교환해서입으니까 모델이입은핏이에요 ㅎㅎ엉덩이가좀짧아서 좀조심해야되요ㅜㅜ재질이 신축성이 전혀없어서 쭈구려앉거나 무릎을구부리는것은 불가능해요ㅜㅜ
chw9**|s가 엄청 큼.... 통도 엄청큼 ... 허리도 엄청큼 ....ㅎ 수선하려구요 핳ㅎㅎ그래도 수선하면 이쁙거같아요 길이도 적당하구 색상도 이뻐요나중에 검정색 재입고 되면다시 사려구요 >< ㅎ
jungsso6**|컷팅 언발ㅋㅋ 밑단이 특이하고 청이 반으로 나뉜것도 맘에들고 그래서 신상 뜨자마자 바로 구매했어요ㅋㅋㅋ스키니만 입다가 스트레잇팬츠 입으니 어색하지만..
jungsso6**|모델 사이즈 참고하고 m 주문했어요 그런데.. 허리 부분이 너무 펑퍼짐하고 심하게 커요ㅠㅠ그래서 저는 아쉽지만 반품 신청했답니당..기대한 옷인데 아쉬워요ㅠㅠㅠㅠ
jungsso6**|역시~! 이것도 완전 맘에들어요ㅋㅋ핏감 좋으면서 편해요~! 검정색도 또 구매하려구용ㅋㅋㅋ기본 티라서 여기저기 맞춰입기 좋을 것 같네용!재질좋고 편하고 핏좋고! 이런 옷 발견할 때마다 기뻐용고고싱 짱짱!
jungsso6**|대박 편함ㅋㅋㅋ와이드팬츠 짧은 건 다리 짧아 보이는데 이건 길이도 적당하고 편하고 예뻐요~!! 고민하시는 분들 당장 사세용^^유행은 정말 돌고 도나 보네요ㅋㅋ 나팔바지의 유행^^
jungsso6**|포토 후기 2등이예요~기본티 중 기본티~!흰티는 아무데나 입어도 예쁘고 꼭 가지고 있어야할 아이템인 것 같아요ㅋㅋ 생각했던대로 편하고 예쁨^^
ty03**|기본티니까 어디에나 무난히 코디에 큰 신경안써도 되어서 좋아요편안하게 잘 입어집니다 강추!
ty03**|원피스 하나 사고싶어서 벼르고있다가 너무 이쁜 원피스가 있길래 바로질렀어요 기장이 조금 짧은 느낌이지만 안에 속바지입고 입음 댈거같네요~이뻐서 좋아요
o3o0**|작년에 사고 이번에 또 삿는데 똑같은 사이즈인데 좀 작아진 느낌이 드네요..너무 이쁘고 편해서 자주 입고 다녀요! 그래서 한개 더 사게 됬네요ㅎㅎ핏도 너무 이쁘고 스판이라 활동하기도 편해요~ 작년에 산건 버리고 한개 더 살까 고민중이예요!
ty03**|에코백이 다 그렇겠지만 간단하게 잘들고다닐수 있으니 실용성 만점! 고고싱에서 가방 한번씩사는데 살때마다 다 좋은거 같아서 좋네요
ty03**|사고싶었는데 잘어울릴까 고민엄청하다가 결국 샀는데 사기잘한거 같아요!더워지기전에 많이많이 입어야겠어요 흐흐 이쁩니다
ty03**|기본티인만큼 어디에나 무난하게 입어지니 굿굿청바지에도 슬랙스에도 치마에도 다 잘어울려서 좋아요!
gpdus34**|기본에충실함 굳
gpdus34**|마른편이긴하지만 후기들보고 M사이즈 주문했는데 남에꺼 뺏어입은거처럼 너무 커요ㅠㅠ평소 26싸이즈 입는분들은 S가맞을거같아요 저는 교환신청하러구요
ty03**|기본 슬랙스 하나 사고싶어서 샀는데 너무 마음에 들어요!핏도이쁘고 감촉도 좋고!이 가격에 이런 옷이면 당장 질러도 좋을듯ㅎ고민하시지말고 하나사세요~
gpdus34**|자크부분이 좀 걸려서 올리고 내리고하기에 불편함은 조금잇지만 디자인도 좋고 생각보다 짧지않아서 좋아용
gpdus34**|가격대비로 엄청 좋다고생각합니다:) 너덜너덜 해보일까봐 걱정했는데 생각보다 핏이 너무예뻐요
parkda04**|배송도 엄청 빠르고 저렴한가격에 구매해서 너무좋아요!!!기본티라서 어떤바지랑 입어도 괜찮았고 5부티라 지금같은 약간 쌀쌀한 날씨에 입으면 딱인거같아요! 다른색도 구매할의향이 있어서 추가로 구매할예정이에요~ 너무만족합니다~
parkda04**|박시한 나시티에 입을 마땅한 튜브탑이 없었는데 가격도 싸고 품질도 좋고 배송도 엄청 빨라서 너무 맘에 들어요~~~다른 제품도 있지만 다른제품은 재질이 두꺼운편이라 땀이 나도 흡수가 안되서 걱정했는데 이건 너무얇아서 땀도 안나고 좋아요~~
sjoo4**|배송빨리받아서좋아여~생각보다조금비치긴하는데 속옷을 살색으로 입으면될꺼같아용바비안으로넣어서입어야더이쁜거같아요 회색으랑흰색샀는데 회색보단흰색이더맘에드내여그냥기본무지티로입기에도좋구여팔이얇아보여서좋아여
mrn09**|여름에 입을 집업이 필요해서 여러군데 찾아봤는데 여기 집업이 가장 깔끔해서 샀거든요. 입어보니 가벼워서 요즘같이 일교차 큰 날씨나 비올때 딱 입기 좋은 것 같아요. 또 안에 아무 티나 입어도 어울리고 편하기 때문에 자주 입을거 같네요. 정말 잘 산거 같아요. 만족합니다.
ppp7**|진주가 포인트를 줘서 여성스러우면서도 튀는 이쁜 반지 같습니다. 최근들어 반지에 대해 관심도 많아지고 많이 사고있는데 진주아 반지세트도 정말 이쁘게 잘 끼고있습니다.다만, 늘렸다가 줄였다가 반복하면 잘못하다간 부러질수있을것같습니다.그래도 지금 이쁘게 잘 끼고있습니다^^
ttokg**|몸이 작고 왜소해서 걱정햇엇는데 딱 이쁜 박시한 스타일로 연출되네요! 티셔츠 질도 괜찮고 색도이쁘고 여러모로 맘에 듭니다 굳굳 >_<
skdprp10**|사고서 너무 늦은 후기남기네요 늘 고고싱에서 옷사는편인데 실망한적 몇 번없고 대부분 좋아서 계속이용하고있어여♡ 키가좀잇는편이라 원피스나 치마 살때 고민 많이하는편이라 큰맘먹고 주문했는데 걱정과달리 길이도 괜찮앗어여 너무예쁘구요 다만 아쉬운점이있다면 허리를 고정?해주는게없어서 좀 아쉬웟어요ㅠ 약간바보같아보여서..ㅋㅋ원피스만입기에는좀 뭐라도 허리에 둘러야할것같아옄ㅋㅋㅋ
sb9610**|짧을거같아서f에서L사이즈로바꿧는데f시켰어도됐을거같아요퍼지는거라서L사이즈도기네요재질이약간우산??같은재질이예요귀엽고예쁘네요.땡땡이좋아하시는분들한테추천해드려요그렇게많이짧지도않습니다...
sb9610**|티가좀짧아요!!흰색면치마에입으니깐예쁘네요~~~시킨것중에제일예뻐요ㅎㅎㅎ앞으로도자주입고다닐거같아요!!!근데진짜짧아서키가크신분들은좀많이짧을거같아여 ㅎㅎㅎㅎ체크좋아하시는분들이입으면될거같아요~~
sb9610**|제일기대했던건데그렇게엄청예쁘지는않았어요그래도하늘하늘해서이쁘네요아래쪽이구김가있어서다림질하고입어야될거같아요~~이가격에예쁜옷찾아서다행이네요~~재입고되기까지시간좀걸렸는데입고되자마자바로왔어요~~
sksthg**|모델언니들은 라인이 있다해야하나? 그런데 통자에요 가격대비 괜춘긴해요 옆라인 조금 줄이고 입기에는 짱짱 등발좀 있으면 조금 피하시는게... 여리여리하게 생긴사람이 입으면 정말이쁠듯해요~~ 저는 등발이좀잇어서 어깨 쑐더 빵빵ㅋㅋㅋ
sb9610**|편하고좋아요!!!그렇게많이얇지도않고완전기본티로입기좋은거같아요배송은다른게안와가지고쫌늦긴했는데재입고되는데로그다음날바로배송와서진짜빠르고좋았어요ㅎㅎㅎ나중에다른색도더사려고생각중입니다ㅎㅎㅎㅎ
choidai**|흰색이랑 네이비 구입했습니당 생각보다 길이감이 조금 있네요ㅠㅠ그치만 전체적인 핏은 정말 이뻐요 배송도 만족하구요!!!
oo07**|고고싱에서 처음으로 주문시킨 옷 인데 진짜 기대이하 입니다..사람들이 추천하고 좋다고 그래서 주문 시켰는데 바느질 상태 진짜 안좋아요;; 사진에 찍힌것 처럼 옷 열자마자 바느질이 덜렁덜렁 거리게 왔고 안과 겉 둘다 바느질 상태가 안좋고 실이 다 삐져 나와 있어서 제가 쪽가위로 하나하나 다 정리했네요;;;사진에는 실 삐져나온게 하나도 없이 이쁘게 나와 있는데 어휴; 여튼 다음번에는 확인 잘 하시고 옷 보내주세요.
soo36**|약간 스키니에서 아주 조금 헐렁한 정도 지만 이뻐요
soo36**|키가 큰편이라서 짧을줄 알았는데 길이도 적당하고 이뻐요
xoxojj**|핏진짜이뿜 날씬해보여여...면도 얇구
phs01**|사이즈는 S로 구입했구요~마른체형이라 완전 딱달라 붙는거 원했는데딱 찾았네요 ^^여름에 잘 입고 다닐꺼같아요~근데 길이가 생각한거보다 좀 더 짧아서 놀랬지만..ㅋㅋ그래도 이뻐요~ 작아서 낑기는거 없구요입을때 좀 끼는거 빼고는 입고 돌아다닐때 어디가불편하거나 아픈데는 없습니다~배송도 완전 빨라서 만족!!역시 믿고 사는 고고싱!
vidkid0**|연청바지 색깔은 이쁜데..... 좀 두꺼워요... 두꺼워서 봄에 입기엔 조금 덥다는 생각이 들었어요.. ㅠㅠㅠㅠ
qkrtjf**|허리밴딩이 엄청 짱짱해요! 배에 힘주고 있어야해서 약간 부담스러운 것도 있는데 역시 예상했던대로 정말 예뻤어요 ㅎㅎㅎ 발표수업 때 입을 단정하면서도 귀엽고 여성스러운 옷이 필요했는데 정말 딱좋았어용!! 치마길이는 제 키가 작은데도 좀 아슬아슬 했고라인이 드러나는게 맘에드네용ㅎㅎ
vidkid0**|이옷 리뷰가 별로 없어서 걱정했는데 옷 이쁩니다. 약간 마소재 같은데 시원하고 이뻐요~~~!!!
vidkid0**|바지가 가격대비 정말 괜찮아요~ 더 사려구 들어왔습니다~ ^^
kms44**|봄에 맞게 레드컬러로 주문했어용 ㅎㅎ가격대비 도톰한 가디건이네용 한여름에는 입기 어려울것같구 여름빼고는 봄가을겨울로 이쁘게 입을수있을것같아용 ㅋㅋㅋ 그냥흰티에만 입어도 뽀인트가 될것같은 컬러네용~고고싱 감사용
