bmj32**|너무이뻐요~~- 키, 몸무게158/47-착용사이즈26-착용후느낌은?(좋은점/나쁜점)여기서 바지처음샀는데 너무이쁘네요 다리도 완전얇아보여요 조금 쫑기긴하지만 스판이고 편하고이뻐용
dbal74**|그냥- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 많이 박시해서 좀그랬는데 팔이 너무큰것빼고 좋아요 색은 진짜 괜찮았어요
gjskdus1**|클러치후기- 키, 몸무게155.38-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)가볍게 들수있는 클러치찾던중에 우연히 고고싱에서 맘에드는거 발견하고 바로삿어요!밖은 거쩡인데 안에가 빨강이여서그런지 더이뻐보이네요!가볍고 가죽재질이 좋아서 들고 다니기 편한거같아요!가격도싸고 잘산거같아서 만족중입니다~고고싱 첫구매인데 만족입니당 잘쓸께요! !
dbal74**|흠...- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)레드색상과 아이보리색상 두개샀는데 두개 사이즈가 좀다르네요... 레드색상은 괜찮았어요
dms13**|블랙 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)그냥 무난해요! 원래 기본으로 받쳐입을 생각으로 구매한거리서ㅎㅎㅎㅎ 가볍게 잘 입고 다닐 수 있겠네요~
gjskdus1**|부끄미키후기- 키, 몸무게155.38-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)봉지뜯자마자 새거냄새 확..한번빨고 괜찮아졌어요!편하게 막 멜려구 삿는데 싸게 잘산거같아요미키라그런지 캐릭터도 귀엽구 커서 많이들어가요딱알맞은크기여서그런지 더좋은거같네요~고고싱 첫구매인데 만족입니당 잘쓸께요!
rudgml72**|단가라 니트- 키, 몸무게158.50-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)이거 10일정도 배송 걸렸는데 그냥 늦는거 알고 기다리다보니그렇게나 걸린줄 몰랐는데 그정도 걸렸더라구요블랙인데 화면이랑 똑같고 대신 제키에도 생각보다 짧아요허리왔다갔다하는정도?쫌 아쉽긴한데 길이를 제대로 안보고 산 탓이겠죠 여튼 이쁘긴 이뻐요 쫌 비치는거빼고 쫌있음 이거만 입을수있을꺼같아요 잘입을께요
dmnd1**|♥ 진청 후기 ♥- 키, 몸무게162cm . 50kg-착용사이즈27-착용후느낌은?(좋은점/나쁜점)정말 스판이 좋았어요!!앉았다 일어났다 100번은 거뜬하게 가능 할 듯이 스판 쵝오그리고 색깔고 제가 너무 좋아하는 색이고 얇아서 핏도 징짜징짜 이뻐요♥♥휴대폰이라 사진은 안올려지네요ㅠㅠ착용샷 꼭 올리고 싶었는데 ㅠㅠ
dms13**|네이비 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)주문을 2월 말에 했는데, 3월 중순까지 안와 거의 반포기 상태였는데, 3주만에 배송 받았네요! 옷은 만족합니다!ㅎㅎㅎㅎㅎ 기본 니트를 만원도 안되게 주고 샀네요! 가격대비 진짜 만족해여~ 괜찮아요!!! 재구매 의사 있습니다~ 글고 수량 넉넉히 있었으면 하네요..ㅠㅠ 재입고 기다리다가 목 빠지는 줄 알았어요ㅠㅠ 늦봄이나 봄 지나서 받으면 어쩌지 하는 생각도 했었는데..그만큼 인기가 많은 제품이라는 뜻이겠죠?!?? 만족합니다~
rudgml72**|와인- 키, 몸무게158.50-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)와인색샀는데 3월초에 받았는데 이건 배송 당일되서 빨리왔어요색상도 화면이랑 똑같고 이뻐요그리고 생각보다 두께도 있고색상별로사고싶어요배송도 빨라서 바로 입었는데 맘에 들어요쫌 있으면 이거랑 가디건 간단히 걸칠수있을꺼같아요
dlgksth**|색도이쁘고만족- 키, 몸무게-착용사이즈30-착용후느낌은?(좋은점/나쁜점)스판끼는별로없지만이쁘고만족이요ㅎㅎ
hglove**|m 사이즈 후기- 키, 몸무게 160-착용사이즈 m-착용후느낌은?(좋은점/나쁜점)2월 말쯤에 S사이즈 입고지연이래서 m 사이즈 주문했는데요돈넣었더니 입고지연이라 3월말에 온다고해서 멘붕..옷은 기본템이라 그냥 무난하고요 사이즈가 딱맞아요S시켰으면 작을뻔했네요 ㅋㅋ 단점은 흰옷이라 안이 좀 비치는거? 말고는 딱히 없는것같아요다른 후기에서 본것처럼 찰랑거린다고해야하나 빳빳한 소재는 아니구요 나름 괜찮은것같아요 잘입겠습니다~
gjskdus1**|5부티!- 키, 몸무게155.38-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)카키색이라서 흔하지도 색이 이쁘게 빠진거같아요!편하게 막입으려고 샀는데 싸게 잘산거같네요!!목부분도 짱짱해서 절대 않느러날꺼같아요 ㅋㅋㅋ155인저한테 허벅지반정도왓어요 참고하시구사게요!고고싱 처음구매인데 잘산거같아서 만족합니당
naon**|이뻐용♡- 키, 몸무게 155/49-착용사이즈 27-착용후느낌은?(좋은점/나쁜점)평소바지를27입는데 살이찐건지새옷이라그런지 좀작게느껴졋어요허리가! 그거말곤다좋아용♡
gjskdus1**|가디건후기!- 키, 몸무게155.38-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)처음엔 비싸서 살까말까망서렸는데 진짜 잘산거같아요ㅠ재질도진짜 좋고 부들부들해요!오픈형식이여서 그런지 자연스럽게 연출도가능하고 가을 봄 초겨울에 입을수있을정도로 따뜻해요!그레이식으로시켜서 아무때나 잘입을수있을꺼같네요~다음에 다른옷시킬때 아이보리색도 시킬까생각중입니당!
