hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
dbwjd1**|좋아욥!!- 키, 몸무게165/45-착용사이즈-착용후느낌은?(좋은점/나쁜점)선선할때 입으면괜찮을거같애요!이쁘긴이쁩니다!!잘입을게요~~~~~~추천합니다
a010940837**|블랙후기- 키160, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 얇은데 넉넉해서 안에많이 껴입으면 괜찮을거같아요 고고싱 첫구매인데 괜찮은편인것 같아요 ㅎㅎㅎㅎㅎ
kbe05**|그레이후기~~~!- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)모직이라고 써잇긴한데 얇아요ㅠㅠ저는 10월말에사서 11월 중순까진 잘입고다S는데한겨울에입기는 추울거같아요ㅠㅠ그래도 옷은 이뻐옇ㅎㅎ아 근데 재질이 좀 따가워요ㅠㅠ그거빼곤 갠춘합니당!
chanelbe**|솔직후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)제일작은사이즈루삿구요..배송받은지는쫌됫는데 이제야후기남겨용옷은진짜일단커요!!!왠만하면 다 젤작은사리즈입으셔여헐듯...너무크지않나싶엇능대 겨울이자나요 안에니트입고휴리흐입고하면 딱맞앙ㅅ!이거입고 부산갓는데 애들도이쁘다고해주고 저도만족스러웟습니다.겨울이라그런지 옷을많이입어서 어깨가무갑게느껴진건 기분탓이겟죠?그래도 가격대비짱!!!!
chanelbe**|좋아용- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)이런클러치백사고싶어서 계속찾아보고잇엇는데..백화잠에서사기엔너무비싸고(얼마안들고다닐거라..)남들다들고다니는거 나도한번은들고다니고싶어착한가격의가방찾던도중구매햇는뎈ㅋㅋㅋ첨엔안들고다니다가 드디어 들고나갓습니다..사실처음들고다니는클러치백이라 내가남들거보기엔진짜이뻐보엿는데..내가드니일수가방같은거에욬ㅋㅋ손도어색하고근데친구들이이쁘다고 해줘서 그다음부턴당당한척들고다녓어요. ㅎㅎㅎㅎㄹ가방가격대비만족입니다
chanelbe**|조아용- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)니트진짜좋아요부산갈때입으려고삿는데 배송도일단너무빨랏구요원하던디자인에 색이라서 너무만족스럽습니다조금아쉬운거라면 겨울에입긴좀얇은니트라..아쉽지만 이것저것외투마니껴입고 봄가을에입으면이쁠니트이요!!!
chanelbe**|솔직후기- 키, 몸무게160 50-착용사이즈-착용후느낌은?(좋은점/나쁜점)받은지한달쯤되가는데... 시간상이제야후기남기네용ㅎㅎㅎ옷응일딴 기모라서따뜻해요 재질도 그닥나쁘지않구디자인도이쁘게잘빠졋어요!!근데...허리밴딩이너무잘올라와서 몇붕마다내려줘야대요ㅠㅠ그거빼곤너무이쁘고잘입고잇어요 ㅎㅎ허리야..뭐 요즘겨울이라이것저것외투입으니까티는안나니까이쁘요
sunhwa70**|이뻐요~~~베이지후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)160 52이뻐요~~근대 오픈해야지더이쁜듯
butterfly92**|화이트 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송은 2주씩이나 걸렸지만 그래도 기다린보람이 있었어요안에 기모가 들어있어서 따뜻하고무난해서 아무옷에나 입을수있어요검정색 보풀이 좀 묻어있었어요ㅠ그래도 따뜻하고 예쁘니깐 잘 입을게요
minhee12**|짱짱좋아요!- 키, 몸무게161-착용사이즈 27-착용후느낌은?(좋은점/나쁜점)짱편하고 엄마도 이쁘다고하셧어요!!조금 뚱뚱해보일까보ㅓ 걱정햇는데 뚱뚱해보이지도 않고괜찮은거 같아요!!! 고고싱바지를 처음구입한 후부터 계속고고싱에서 바지 사입엇는데 항상 만족해요!!고고싱바지짱짱♥
butterfly92**|레드 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송이 너무 느렸어요ㅠ셔츠랑 같이 입으면 예쁘고 따뜻해요근데 옷에서 좀 이상한 냄새가 나서 한번빨고 입어야할것같요색은 제가 생각했던 그런 새빨간색이 아니라 와인색에 더 가깝지만 그래도 예쁘니깐 잘 입을게요~
minhee12**|두번째구매- 키, 몸무게 161-착용사이즈28-착용후느낌은?(좋은점/나쁜점)-착용후느낌은?(좋은점/나쁜점)26사이즈로 하나삿다가 너무 좋아서 27 28중에 고민하다가 28로삿는데28은너무큰거같아요ㅠㅠㅠ27살껄그랫어요 ㅠㅠ그래도 짱이뻐요 ㅎㅎㅎㅎ 안살도 안보이고 날씬해보이고 고고싱바지는항상 만족해요!그래서 애들한테 항상 고고싱바지가 짱이라고 추천햇어용)
engle06**|색감이이뻐용163- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)샥감이너무너무이뻐용다잘어울리네요
engle06**|좋아용!- 키, 몸무게163-착용사이즈-착용후느낌은?(좋은점/나쁜점)좋아용!!이뻐여길이감도적당하고!한겨울에입기엔 추울것같은데 품이커서 껴입으면될것같아요이뻐용
qkrdpwls11**|완전 대박 맘에듬!!!- 키, 몸무게 151-착용사이즈-착용후느낌은?(좋은점/나쁜점)제 키가 작은데도 밑단 시보리가 짱짱해서 엉덩이 반정도 오게 입을수 있어요!>잘 입을게여
qkrdpwls11**|하핳- 키, 몸무게 151-착용사이즈-착용후느낌은?(좋은점/나쁜점)제가 키가 작다보니 좀 큰감이 있어욥... 앞뒤로 다 넣어입어야 좀 봐줄만...ㅎㅎ 언발기장좋아하는데 맘에 들었어요. 근데 양기모니트라그래가꼬 전 앙고라같은 재질일줄알았는데 아니네요...ㅜㅠ 얇고 입을때 타닥타닥 정전기가..ㅎ 그래도 색도 이쁘고 괜차나여
qkrdpwls11**|음...- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단 재질은 그리 좋은 재질은 아닌것같아요. 포장지가 옆이 터져서 왔어요. 기모맨투맨치고 좀 얇은 감이 있어요. 그래도 싼 값에 이런 색에 기모맨투맨 괜찮은것같아요
qkrdpwls11**|신축성 짱됴음♥- 키, 몸무게 151.42-착용사이즈 26-착용후느낌은?(좋은점/나쁜점)처음엔 좀 꽉 낄거같아서 걱정햇는데 신축성 진짜 좋아요!!! 보들보들하고 따뜻하고>
wjdrkdl**|포토후기1등 블루- 키, 몸무게167.50-착용사이즈-착용후느낌은?(좋은점/나쁜점)처음에 많이 까글거리지만 갠춘하네요
wjdrkdl**|포토후기2등- 키, 몸무게167.50-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 허리잘잡아주고 따듯해요
