flowerkj**|생각보다 괜찮네요~ 흰색은 부담되서 블랙으로 주문했는데 괜찮아요! ㅋ  헤진 느낌이 있어서 오히려 자연스럽게 입기에 좋을것 같아요!
2076769855887150**|같이 구매한 치마와 잘어울려서 좋았고 바지와도 매치하기 좋은 니트였습니다~!
tldus1**|여리여리한 재질이여서 느낌도 좋고 몸에 맞게 늘어져서 너무 예뻐요 특히 자연스럽게 접히는 카라부분이 특이해서 사봤는데 마음에 듭니다 지금 입기엔 아직 추워서 개시를 못했어요 빨리 봄이 왔으면 좋겠네요
ssy5**|라지 샀다가 사이즈는 좀 큰데 바지는 최고 예뻐요 !! 리뷰 잘 안남기는데 진짜 예뻐서 이건 남겨야겠다 !!!!! 해서 남겨요 최고최고 ❤️❤️❤️
43513014**|색상도 너무 너무 예쁘고ㅠㅠ 가격대비 정말 추천해요ㅠㅠ봄에 단독으로 입어도 자켓이나 코트안에입어도 다 잘어울릴더같아요!
dustn50**|가격에 비해 퀄리티가 괜찮았어요!! 예뻐요 다들 사세요 ㅎㅎ 그리고 플리츠 스커트라서 더 예쁜거같아요.
43513014**|사이즈는 많이 크지만 편하고 단독으로 입어도 좋고 아우터안에 입거나 이너로 활용해도 편하게 입기 좋아요
rlagusd**|소매가 약간 짧은감이 있지만 슬랙스랑 입으면 이뻐요ㅎㅎㅎㅎ
sgkskj**|분홍색 제품을 구매하였습니다. 블라우스이기 때문에 단추로 옷을 여미는 제품인데 단추수가 촘촘하게 배치되어있지않아 조심해서 입어야 하는 부분이 있습니다. 배송은 설에 주문해서 그런지 조금 느렸어요 ㅠㅠ 그래도 옷이 이뻐 만족합니다.
sgkskj**|검정색 트랜치코트가 없어 주문하였는데 옷의 핏이 너무 잘 나와서 만족합니다. 소매부분의 포인트가 가장 맘에 듭니다. 배송은 설에 주문해서 그런지 조금 느렸어요 ㅠㅠ 그래도 옷이 이뻐 만족합니다.
sgkskj**|정말 색다른 색을 사보자 해서 노랑색으로 주문했습니다. 연노랑색이라 봄에 정말 어울리는 색이라고 생각합니다. 개나리꽃이 피면 입고나가 사진찍기 딱 좋은 옷입니다.배송은 설에 주문해서 그런지 조금 느렸어요 ㅠㅠ 그래도 옷이 이뻐 만족합니다.
