gd**|아이보리색상- 키, 몸무게154cm-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다조금얇은데 실짜임은괜찮은거같아요 딱기본적인니트여서좋아요
zhdkffk72**|화이트이쁨ㅎㅎ 무늬가 마음애든다다음에 다룬샥도사야지~
ekdrhd**|블랙 색상 후기!!- 키, 몸무게162,52-착용사이즈-착용후느낌은?(좋은점/나쁜점)블랙이 인기가 많아서 늦게 왔지만 정말 좋아요!! 이옷이 자체제작 제품이라서인지 실이나 털 마감 상태가 별로지만 때어내거나 실 나온거 자르면 괜찮아져요!! 그리고 무엇보다 따뜻하고 편하고 주머니에도 털이있어서 손 넣을때마다 보들보들해요 잘샀다는생각이 들어요!앞으로도 많이 이용할께요!!
gd**|색상화이트. 기모.- 키, 몸무게154cm-착용사이즈26-착용후느낌은?(좋은점/나쁜점)첨에들어갈때쪼금힘든데그거는제몸에문제잇는거같구요 그래도ㅁ불구하고 착용감이편해요 완전하얀색보다는아주아주연한아이보리?정도되는거같네요 발목까지짱짱하게 잘붙고 기모도많이두껍진않지만그래더이정도면 좋은거같아요
wlsgwl**|조아요~두께도 적당하고 이뻐요~검은색 네이비색 고민했는데 무난하게 검정으로 샀어요가격이 싸서 재질이 걱정됏는데질 좋은거 같아요좋아요!!!
jsh12**|화이트 후기- 키, 몸무게 > 165 / 53-착용사이즈 > 화이트-착용후느낌은?(좋은점/나쁜점)저는 화이트 색상 샀는데요 진짜 짱짱짱짱이뻐요!입으면 되게 날씬해보이고 여성스러워요. 여리여리한 느낌?ㅋㅋ근데 얇아서 겨울에는 겉옷 따뜻하게 걸쳐야 될 것 같고,봄이나 가을에 입으면 딱 좋을 것 같네요.너무너무 만족합니다 후회없어요 좋아용
rlarkdms3**|좋아요!!- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)키:162 몸무게:45너무너무 좋아요 살까말까 고민하시지말고 바로사세요기모가들어가서 느낌도 부들부들하고 통통하신분들도 박스티라 괜찮고 밑에는 쪼여서 그렇게 펑펌히보이지가않아요교복에도 잘어울릴듯하네요
jsh12**|27사이즈 후기- 키, 몸무게165 / 53-착용사이즈27-착용후느낌은?(좋은점/나쁜점)스키니가 되게 짱짱해서 몸에 딱 달라붙는게 핏이 예술이예요.아직 밖에 입고나가보진 않았지만 기모안감이고 딱 달라붙어서바람도 하나도 안들어오고 되게 따뜻할 것 같아요.색깔도 어두운 청색이라서 겨울에 입어도 추워보인다라는 느낌 안들 것 같구요,재질도 좋고 만족합니다~
wlsgwl**|좋아요!!좋아요~따뜻하고 재질도 괜찮은거 같아요가격도 착하고어깨 때문인지 도톰해서 그런지 약간 부해보이는 느낌이 있는데괜찮아요 전체적으로 핏도 좋은거 같고!
haesun**|151/40- 키, 몸무게 151/40-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)박시하고 허벅지 반정도를 가리는데 어깨쪽이 좀 많이 넓은거 같아요ㅠㅠㅠ 그래도 이쁘니까 만족! 원했던 색깔이라 자주 입게 될듯ㅎㅎㅎㅎ 망설이시는 분들 고민하시 마시고 지르ㅅㅣ길
haesun**|포토후기!- 키, 몸무게 151/40-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점)따뜻하고 모직이라서 더 좋았어요 허벅지반정도 오는데 좋은거같아요 잘 입을게용!!
thgml65**|베이지 ~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)이거 입고 예정이어서 기다리느라......ㅠ기다린 보람이 있네요 예뻐요 ~~~얇지도 않고 안에 남방이랑 입어도 되고 좋네요 ㅎㅎㅎ따뜻할것 같아요 ~
thgml65**|라이더 ~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)적당히 두툼해서 괜찮은 것 같아요모직이라고 해서 이렇게 빤짝 거릴줄은 몰랐어요.......ㅎ부들부들 해서 좋지만 조금 빤짝 거리네요.,.ㅎㅎㅎ그래도 이뻐요 ~ 잘 입을께요
홍아람|따뜻해요~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)융기모안감 나시 검은색 샀구요니트가 요즘 다 비치는거 같아서 하나샀어요융기모안감 나시하나 입고 니트하나입고아우터 두꺼운거 입으면 엄청 따듯할것같네요안감도 부들부들하고 좋네요
thgml65**|블랙이용~~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)길이도 딱맞고 되게 편해요 ㅎㅎ저번에 잘못 사서 다시 구입했는데 이거 잘 입을것 같네요 ㅎ많이 얇지도 않은 편이라 요즘에 입을수 있을것 같아요~예쁘네요 ~ ㅎ ㅎ ㅎ ㅎ
thgml65**|와인색 ~~~~~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 조금 길었네요 그래도 길이 적당해서 좋아요 ㅎㅎㅎㅎ신축성 없을줄 알고 걱정했는데 신축성 있어요 !!!!고무밴드라서 충분히 맞아요 !!고고싱 자주 이용했는데 계속 이용하고 싶어요 ㅎㅎ
홍아람|연그레이후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)엔칙티 카키색으로 샀었는데 너무 이뻐서이번에 피치면 라운드 연그레이로 샀어요두개다 입어봣을때 딱히 큰 차이점은 없는것 같아요두께도 적당하고 많이 입을수 있을것같아요몸에 착 붙는 핏이 좋아요~
hyon15**|알파카자켓 포토후기 1등!- 키, 몸무게157, 45-착용사이즈-착용후느낌은?(좋은점/나쁜점)길이가 딱 적당하고 너무 예뻐요근데 팔이 너무 짧아서ㅠㅠ 그게 제일 아쉬운거 같아요..깃세워서 입어도 예뻐요ㅎㅎ기본 자켓이라서 아무 옷에나 정말 잘어울려요ㅎㅎ
iodnf**|블랙>_- 키, 몸무게 151-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점) 좋은점우아~ 문자로능 1~2일쯤에 배송이 온다해서 ㅠ3ㅠ 많은늦네... 라고 생각했는데 ㅋㅋㅋㅋㅋ벌써 왔어염 ~~~ 우아 우아우아 신기뽕 !!!!! 가격값하는것같아여 ~~ >3< 감사합니다 앞으로 좋은옷 많이 올려주세여제가 싹다 사갈께염 ♥
soaum**|어깨가...- 키, 몸무게 164 45-착용사이즈-착용후느낌은?(좋은점/나쁜점)어깨 진짜 넓어보여요ㅠㅠㅠㅠㅠ 그래서 자켓이나 코트같은걸 겉에 입어줘야 할것같아요 털날림은 별로 심하지않아요 약간씩 빠지는정도구요키가 161넘으시는 분들은 좀 짦으실거에요 근데 진짜 이뻐요 눈꽃같아서 사도 후회안하실건데 어깨 많이많이 넓으실거에요 모델분 보면 그렇게 넓게 안보이는데 사서보면 넓습니다 근데가슴밑으로 내려오시는 긴 머리카락을 가지고 게신다면 어깨가릴수 있어서 안넓어보여요
joonma39**|좋아요 !!- 키, 몸무게 165/50-착용사이즈 프리사이즈-착용후느낌은?(좋은점/나쁜점)엄청 크지도 않고 적당히 커서 핏이 좋은것 같아요!! 그리고 처음 왔을 땐 털이 좀 묻어 있었는데 떼면 되는거고 털이 부드러워요!! 모처럼 좋은 옷 하나 구했네요 ㅎㅎ
hyon15**|카멜 후드티 그레이 포토후기 1등!- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 두껍고 박시해서 좋아요 ㅎㅎ키가 작아서 약간 큰감이 없지 않아 있지만..ㅋㅋ예쁘게 잘 입고 다닐게요~
cia11**|완전 부들- 키, 몸무게 158/46-착용사이즈 F-착용후느낌은?안쪽털이 완전 부들부들한겨울 이너로 입기 넘 좋을거같여 !좀 두껍지만 그만큼 따듯~
hyon15**|아이보리 포토후기 2등이요!!- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)완전 부들부들해요ㅎㅎ 생각보다 털이 좀 많이 빠져서위에 자켓을 입으면 묻어나오는게 좀 많아요 ㅠㅠ그리고 아이보리색이라서 그런지 약간은 비침이 있어서안에 항상 뭘 입고 입어야 할거 같아요 ㅎㅎ..그래도 너무 예쁘고 만족해요
block**|흑청 후기- 키, 몸무게160. 60-착용사이즈L-착용후느낌은?(좋은점/나쁜점)제가 좀 통통 한편이어서 L사이즈를 시켰는데 정말 스판이 짱짱이더라구여살딱 널널했어요 사실때 작은 사이즈로 사는걸 추천해드립니다.그래도 핏도 그렇고 정말 이뻐요♥
tattoo1**|포토후기1등!!!!163/49인터넷으로패딩사는게처음이라걱정도좀많이햇는데 역시고고싱~♥진짜이뻐용ㅎㅎ베이지색도너무사고싶지만저는네이비로삿어요~ 너무빵빵하지도않구요길이는엉덩이까지와용!! 자크는좀뻑뻑해서조심히다루게된다능..☞☜저는배송하루만에왓어요!! 인터넷으로옷살때항상고고싱먼저들어오는데역시이번에도만족해요~ 상담언니들도너무친절하시구요!!가격도싸고~배송도빠르고~진짜추천해용@_@!! 고고싱앞으로도이쁜옷많이부탁해용♥♥
onestone**|좋네요- 키, 몸무게 162, 53-착용사이즈 프리사이즈-착용후느낌은?(좋은점/나쁜점)털같은게 옷에 많이붙어있습니다 테이프로다띄었습니다 옷이많이 클줄알았는데 적당히맞아요! 엉덩이를가리고요 팔길이 안길고딱맞아요 전체길이랑도좋고 옷이큰데도 별로안뚱뚱해보이고 안에털이있어서 따듯해요 무겁진안은거같아요 위에 모델사진이랑 같아요 이쁘네요 검은색도 샀는데... 팔부분이 뜯어져있어서 불량으로 교환할려고합니당~ 추천할게여 따듯한겨울보내세요♥
tjwls**|버건디 라이더코트 ♥.♥- 키, 몸무게160에 45-착용사이즈박시한 느낌이 있어서 좋아요 제가 원래 큰 사이즈를 좋아해서 완전마음에 들어용ㅎㅎㅎ-착용후느낌은?(좋은점/나쁜점)누빔안감이 있어 이번 겨울에 입기 정말 좋은거 같아요 너무너무 따뜻해욯ㅎ도톰하다고 해서 뚱뚱해 보이지도 않아요~!!
cysc**|후기후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)가방 옆부분 박음질 완전 구멍사이로 빛이보이고 금방이라도 떨어질것같음크로스백도 아직 모양이 안잡혀서그런지 아니면 원래그런지몰라도 쪼매 별로임 그래도 가방 이쁨!!
cysc**|워커워커- 키, 몸무게 163-착용사이즈 240-착용후느낌은?(좋은점/나쁜점)굽 적당함 ㅎㅎㅎ근데 어색해서그런지 쪼매 불편함 사이즈는 정사이즈로 하면 될것같음짱임!bbbbbb
dmswl112**|완전좋아용- 키, 몸무게 160-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)옷이 귀여워용ㅎㅎㅎ s잘산거 같아요 작지도않고 크지도 않고해서 좋아용 잘입을께용
dmswl112**|완전좋은굳~- 키, 몸무게 160, 50-착용사이즈-착용후느낌은?(좋은점/나쁜점) 면이 좋은거 같고, 가격에비해 옷이 좋은거같아용ㅎㅎㅎㅎㅎㅎ
jeong09**|조음핏이완젼이쁘네요 배송은조금걸렷지만 ~첨엔보풀이많이묻어잇지만 털빠짐은 없고 따뜻하게입기좋을거가태요 체형상관없이 다잘어울릴거같아요
dlwldjs14**|블랙- 키, 몸무게 162/49-착용사이즈 27-착용후느낌은?(좋은점/나쁜점)스판도 넉넉하고 길이도 적당하고 이쁨근데 좀 얇은감이 있음ㅠㅠ글고 면이라서 그런가 먼지가 좀 많이 붙어요...그런 것만 빼면 이쁘고 괜찮음아무옷이나 코디하기 좋을듯
sumi5**|완전 좋아요!!- 키, 몸무게 150-착용사이즈-착용후느낌은?(좋은점/나쁜점)모자 털 달때 털에 고리가 파묻혀 있어서그거 찾는 거 빼곤 정말 다 좋아요 ㅎ옷도 따뜻하고 털도 부들부들하고ㅎㅎ색깔도 정말 튀는 빨강이 아니라입고 다니기 부담스럽지 않은 빨강이어서 더 좋은거 같아요ㅋㅋ추천이요ㅋㅋ
dlwldjs14**|그레이후기- 키, 몸무게 162/49-착용사이즈-착용후느낌은?(좋은점/나쁜점)사진이랑 같음ㅠㅠㅠㅠ 이쁨좀 얇을줄 알았는데 기모라 그런지 두께감도 좀 있고안감도 부들부들하니 좋음근데 팔에 선이랑 프린팅이 흰색이 아니라 아이보리색임살짝 누래보이지만 문제될건 없으ㅋㅋㅋ 이쁘니까
sumi5**|좋아요ㅎㅎ- 키, 몸무게 150-착용사이즈 s 그레이-착용후느낌은?(좋은점/나쁜점)키가 작아서 s로 샀는데제가 좀 박시해게 입는 걸 좋아해서 그런지 이쁘게 딱 맞구요ㅎ재질도 좋고 입었을때 부들부들!!ㅎㅎ진짜 따뜻해서 사면 후회 안해요ㅋㅋ처음에 새옷 냄새가 조금 많이 나긴 했는데입다보면 사라져서 괜찮은 것 같아요ㅎ 추천추천!!
dpals**|맨투맨 후기기기- 키, 몸무게 161~162cm ,47kg-착용사이즈 m-착용후느낌은?(좋은점/나쁜점)제몸에 딱 맞아요(아주 조금 헐렁) 제가 좀 크게 입는걸 좋아해서 다음부턴 한사이즈 큰걸로 시켜야겠어요그리고 따셔요 안에 티한장 겹쳐입고 외투입으면 따시고 좋을것 같아요.색상도 위에 올려진거랑 같구요 촘촘하게 실이 짜여져있어서 좋아요 흐흫배송이 늦게 왔지만 상품이 맘에들어서 별 5개!!
dlwldjs14**|브라운- 키, 몸무게 162/49-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)일단 옷 두께가bb 짱임ㅋㅋㅋ옷두께에 한번 감동ㅠㅠ이 가격에 이만한 옷 없을듯ㅋㅋㅋ근데 두께감이 있다보니까 입으면 좀 부해보이는? 그런게 있는득그래도 이뻐욬ㅋㅋ사진 중에 전신샷이 실제색이랑 비슷함!
byeol2**|굿- 키, 몸무게 165. 56-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)길이감도 있고 따뜻해서 좋아요 ㅎㅎㅎ와인색이 생각보다 어둡긴 한대 그래도 괜찮네요넉넉해서 안에 껴입어도 충분합니다
sunny29**|가격만큼 하는것같아요- 키, 몸무게156 46-착용사이즈25-착용후느낌은?(좋은점/나쁜점)15000원이 비싼가격은 아니잖아요 기대 많이 안했고 스판은 많이없어요ㅠㅠ골반이 넓은편이라 입고벗을때 조금 불편한감은 있구요몇일 입었는데 늘어날것같네요기장도 좀 짧고ㅜㅜ 그래도 싼맛에 데일리로 입을만해요!!완전 시꺼먼색 찾고있었는데 아직안빨아서 모르겠지만 제맘엔 들어요!좋음좋음!
qhdus38**|검은색- 키, 몸무게 170,53-착용사이즈-착용후느낌은?(좋은점/나쁜점)부드럽고 길이도 괜찮고 좋은것 같아요.
qhdus38**|빨갱이- 키, 몸무게 어..음..170,53-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)무난하게 입을 만한거 찾다가 바지랑 같이 샀어요. 촉감도 괜찮은것 같고 전 마음에 들어요 ㅎㅎ
tjdal81**|그레이 좋소이다!!- 키, 몸무게164 52-착용사이즈그레이-착용후느낌은?(좋은점/나쁜점)정말좋은거같아요 배송도빠르고 완전좋아용ㅋㅋ
tjdal81**|완전좋아요!!!- 키, 몸무게151 41-착용사이즈S(25)-착용후느낌은?(좋은점/나쁜점)아주좋아요!! 배송도빠르고 쫀쫀하고 늘어날것같지도않고진짜완전강추!!ㅋㅋ
jdj76**|와인s구입- 키, 몸무게 160/45-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)엄청고민하다가 와인S구입했어요솔직히 m살려고했는데 품절이길래 s구입했는데쫌 작은것같지만 괜찮아요색깔이 생각보다 어두운것같지만 그래도 괜찮구요 기장도 딱 적당하구 발목도 잘잡아주는거 같애요가격도 조큐 신축성도 괜찮아용배송도 한 2일만에 온것같아서 조야용ㅇ사길 잘한것 같고요앞으로도 고고싱 자주 이용 하께욯
thsthfa**|좋아요~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)
jenny06**|코튼캔디 민트- 키, 몸무게 160-착용사이즈-착용후느낌은?(좋은점/나쁜점)민트색이 이뻐서 민트색으로 샀어요생각보다 두껍진 않고 그냥 ㅋㅋ이쁘네요잘 입고 다닐 수 있을것 같아요많이파세요 ~
jenny06**|카이체크- 키, 몸무게 160-착용사이즈-착용후느낌은?(좋은점/나쁜점)빨간색으로 샀어요저번에 고고싱에서 남방산적있는데 얇아서 좀 실망했는데이번껀 별로 흐물흐물 하지도 않고 두께감이 좀 있어서좋은것같아요 !! 바지도 어울리고 치마도 어울리네요~~
qkrekdms11**|잘받아써요~- 키, 몸무게 166-착용사이즈-착용후느낌은?(좋은점/나쁜점)키가 커서 스타킹 잘못사면 짧고 그런뎅 이건 적당하네요~ㅎㅎ갠찮은거 가타요~!!
qkrekdms11**|예뻐요~~>- 키, 몸무게 166-착용사이즈-착용후느낌은?(좋은점/나쁜점)어제 상품 받았어요~~ 배송도 빠르고 옷도 너무너무 예뻐요~~><길이도 치마처럼 입을수 있게 적당하구요!! 가격대비 옷 잘산거 같아서 뿌듯하네요~~ㅎㅎ고고싱에서 옷사면 후회를 안해요 거의~적립급 쏴주세용~~>< 아! 그리고 생일이라구 10% 쿠폰 사용할수 있다던데 어떻게 하는거에용??
jenny06**|반폴라기모크롭티- 키, 몸무게 160-착용사이즈-착용후느낌은?(좋은점/나쁜점)여름에도 안 입던 크롭티 그냥 한번 입어보고싶어서기모도 들어있고하고 샀는데 이뻐요ㅋㅋㅋ근데 이건 치마랑 입어야 잘 어울릴듯!!아이보리색 샀는데 모델분처럼 플레어 치마에다가 입으면 이쁠듯해요길이감도 괜찮고 좋아요 많이파세요 ~
jenny06**|다이뽀그니트- 키, 몸무게 160-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송은 좀 느렸지만 옷이 너무 이뻐요이 니트 보자마자 사고 싶었는데 역시나 옷이 완전 귀여워요후기보고 두꺼워도 얼마나 두껍겠어 했는데적당한 두께감이고 길이도 딱 좋아요치마나 바지나 다 잘 어울릴것 같ㅇ고사고싶으신분들 어서어서 구매하세욯ㅎ많이 파세요 ~
