wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
wnsghals**|클럽갈때입기좋아요 ㅎㅎㅎㅎㅎㅎ진짜이뻐요근댜좀큰게아쉽네요ㅜㅡ그래도 예쁘게입을수잇어서좋앗웅ㅅ역시고고싱은싸고좋은거같아요!!!!!!!!!!친구이런거어디서사냐고물어보네용❤️❤️❤️❤️
happy03**|허리가 큰 것 빼곤 좋아요! 사이즈를 잘못 샀긴한데 어차피 벨트할거라서 교환 안하고 그냥 입게요ㅎㅎ 색감도 사진이랑 그대로고 맨투맨이랑 입으면 정말 예뻐요ㅠㅠㅠ 지금은 날이 추워서 못입고 봄쯤에 입으면 예쁠 것 같네요 잘입을게요!❤️
sgr48**|색 너무 이쁘고 핏이 그냥 죽어줘요 진짜루 ❤️❤️❤️❤️☺️꼭 사셨으면 좋겠어요 이 옷 ❤️
happy03**|치마바지는 처음 사보는데 너무 편해요!!스판이 있어서 앉거나 쪼그려 앉을 때도 불편하지 않았어요치마도 살짝 짧은 것 같아서 걱정했는데 바지가 있어서 활동하는데 전혀 신경쓰이지 않았어요ㅎㅎ 치마 대부분 실패하는데 이번 건 성공해서 너무 좋아요ㅠㅠㅠㅠ
happy03**|베이지랑 브라운 색상 두개 다 샀는데 두 색깔 다 마음에 들어요ㅠㅠㅠ이걸 어떻게 만원도 안되는 가격으로 살 수 있죠?ㅠㅠㅠㅠㅠ이것도 마찬가지로 여리여리한게 너무 마음에 듭니다!! 두색상 모두 사시는거 추천드릴게오ㅠㅠㅠ
happy03**|아 너무 예뻐요ㅠㅠㅠㅠ 핏이 너무 여리 여리해서 입어보고 정말 만족했습니다!!쇄골이 살짝 보여서 더 여성스러워 보이고 옷 짜임이라던지 소재라던지 어느 하나 빠짐없이 다 마음에 듭니다ㅠㅠㅠ 고고싱에서 이번에 두 번째? 구입인데 너무 만족중이네요 색깔 고민하다가 두 개 다 샀는데 신의 한 수였습니다 여러분 꼭 사세요!!
nail19**|베이직한 검정스타킹이에요~ㅋ소재는 쫀쫀하고 얇은편입니다~겉에 기모스타킹 한겹 더 신으면 요즘 같이 추운날 딱일 것 같아요!!
youmi0301**|진짜 이건 절대 고민하지 말도 바로 주문하세요 ㅠㅠㅠㅠㅠ 진짜 사진처럼 최고입니다 ㅠㅠ ❤️❤️ 배송도 하루만에 바로 도착했네용❤️ 잘 입을게용 바지에다가 입어도 이쁘고 그냥 혼자만 입어도 이쁘고 치마랑은 완젼 최고의 조합 입니다
gksth**|생각했던거보다 퀄리티 좋아요 고민하시는분들이면 사세요 !!하비라서 좀 크게 샀는데 옷 안에 넣어입으면 편하고 좋습니다안에 바지 있어서 편하고 재질도 가격에 비해 좋아서 따갑거나 하지 않아요두께는 얇은편이지만 롱패딩이랑 입으면 많이 추울정도는 아니에요 ㅋㅋ사이즈는 정사이즈 입으면 되고 하비인저도 잘입으니까 작을 걱정안하셔도 되요 ㅠㅜㅠ진짜 흔히 보이는 하비입니다 ㅠㅜㅠ 아무튼 모두 사세용!!
gowlsdk**|"너무너무 맘에 들어요~~|요즘 한파여서 이거에 코트만 입으면 춥겠지만 ㅠㅜ날 풀리면 코트에 입어도 딱 좋을것 같아요! 두께가 많이 얇지두 않구 좋습니다~ 조금 기장이 짧은데 뭐 치마안에 입을거이까 괜찮을 것 같아요!"
