kjo99**|가격대비 너무 이뻐요!안에 긴 가방끈도 있어서 놀랐습니다생각보다 작긴한데 귀엽네요!!
bkcj**|이 바지 진짜 편해요 허리가 조금 큰 것 같지만 그래도 편하고 예뻐서 자주 입네요 다리가 좀 더 얇아보여서 기분 좋네요~!
bkcj**|어떤 가방을 살까 고민하다가 클러치백으로 샀는데 생각보다 더 이뻐서 자주 들고 다닙니다ㅎㅎㅎㅎㅎㅎㅎ
bkcj**|"생각보다 조금 얇기는 하지만 날씨가 조금 더 풀리면 자주 입을 것 같아요다른색깔도 사고 싶어요~~~|>_<"
rladmlwls8**|아이보리 주문했는데 보들보들하고 느낌이 되게 좋아요 목이랑 몸에도 전체적으로 착 붙고 근데 제가 목부분을 한번 접고입었는데 뭔가 깁스한사람같이..ㅠㅠ 두번접어봤는데도..ㅠㅠ 아쉽게도 그냥 저한테 안어울리더라구요 그래서 초등학생 동생 줬어요..ㅎㅎ 옷은 가격에 괜찮은거같아용
2118935371664285**|와 이거슨 존예 대존예 입어보고 혼자 계속 감탄했어요핏이 진짜 예뻐요 약간의 오버핏과 적당한길이감 캬완전 성공한 구매!! 넘예뻥 ㅠㅠㅠ 치마에도이쁘고 청바지에도이쁘고 걍 이쁨 네이비사고싶어서 다시 들어왔더니 품절이더라구요 못사서 아쉽지만 그럴만한가치가 있어요ㅠㅡㅠ
rladmlwls8**|검정 주문했는데 도톰하고 적당히 핏도 이뻐요 근데 안에 기모 털이.. 절대 안에 흰옷입고 입으면 안돼요 잠깐 닿아도 털이.. 묻어나요 그래서 놀래서 한번 세탁했는데도 똑같아요 좀 아쉽네용
2118935371664285**|구김이 심하고 재질이 싼티나용..다림질열심히해야해영 색은 그냥저냥괜찮아요 핏은 일반적인코트핏이영딱 세일한 가격정도의 값어치를 하는것같아요 가끔 입을거 없을때 입기에 좋을것같아요
rladmlwls8**|목부분이랑 전체적으로 쫀쫀하게 잡아줘요 목이 길어서 2번접으면 이뻐요 따듯해요 기본 티로 후드나 아우터에 입으면 이뻐용 만족
51681207**|제가 허벅지가 굵은편이라서 허벅지에 맞춰서 사는편이여서 크게 샀는데 스판끼도 되게많아서 좋았던거같아요 ! 제가 입고싶은 핏이 나와서 좋았습니다 이뻐요 !! 이 바지 추천합니다 !!
wjdals84**|배송은 다음날 바로 왔어요!오자마자 입고 나갔는데 지금 날씨에 입어도 괜찮은거같아요그리고 완전 부들부들~~ 입으니 넘넘 귀엽네요
wjdals84**|배송 다음날 바로 왔어요! 엄청 빠르네요오늘 끼고 나갔는데 남자친구가 이쁘다고 해서 뿌듯 ㅎㅎ여러개 있어서 매일 다른거 끼고 나가야겠어요
rlatofha**|생각한것보다 두툼한데 핏도이뻐서 엄청 맘에들어요!!키가 작은편이라 코트고르기힘든데 길이도 이쁘게 똭 떨어지고ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ너무 잘삿어요!
rlaguswn3**|엉덩이 부분도 그렇고 길이도 그렇고 다 만족이예요 적당히 이쁜 치마? 춥지도않고 두께도 적당해쏘용
wjjun**|약간 부해보이기도해요! 근데 너무 예쁘고 영문 디테일이 최고ㅠㅠㅠ따뜻해서 봄에는 단독으로 입어도 괜찮을듯해용
wjjun**|진짜 예뻐요! 허리가 얇지 않은데도 고무줄이라서 진짜 편했어요기장도 딱 예쁜 길이였고 색ㄱ깔도 화면이랑 똑같아용
km43**|제가 이런 원피스는 처음 입어보는데요 ㅠㅠㅠ 제가 키가 작아서인지는 잘모르겠는데 입어보니까 가족들이 임산부 같다고 그러네요 ㅠㅠㅠㅠㅠㅠㅠㅠ한 160키분들이 입으시면 진짜 예쁠가같고 조금 큰거같아요 ㅠㅠ그런데 옷은 진짜예뻐요!키크신분들한테 추천해드려요!그리고 이셔츠에 흰블라우스입으시면 진짜예뻐요!
skwn66**|진짜 너무 예뻐요!!! 아이보리랑 고민 많이 했는데 너무 이쁘네오! 매일 단색 가디건만 입다 이런 여자여자한 가디건 입으니 너무 이쁘고 좋아요!!!! 진짜 꼭 사세요!!!! 후회안합니다!
lim4046**|체크남방 너무 귀여워요! 사길 정말 잘한것 같아 뿌듯합니다ㅎㅎ 그리고 다른 쇼핑몰보다 제품은 똑같지만 가격이 저렴해서 정말 좋아요!!!
km43**|옷이와서 옷을입어봤는데요 검정색바지랑 같이입으면 진짜 예쁠가같아요!그런데 기장이 좀 긴데 바지 안에 넣어서 입으시면 진짜 예뻐요!
45216058**|양말 짱짱하고 길이도 적당하고 좋네요색깔별로 있어서 코디하기 좋은것같아요 가격도 만족이구요!!
himchan11**|할인된 가격에 저렴하게 구매했는데 옷 스타일이랑 디자인은 너무 예쁩니다 생각보다 올이 계속 풀려요 제가 사진으로 봤을 때는 못느꼈는데 주머니가 올이 아주 많이 풀리게 박음질이 되어있더라고요 그래도 이가격에 이정도면 괜찮은 것 같네요
himchan11**|코트안에 입으려고 구매했는데 제 키에 길이도 적당하고 핏도 살짝 아방해서 예쁘네요! 옷 하나로 꾸민듯한 느낌이 나서 좋아요
wnre**|색이 너무 예뻐요 다른색도 다 이쁘다는데 전 베이지색상으로 초이스했습니당.  세일해가지고 저렴하게 잘산거같아요 여기에 목걸이해줬는데 너무 잘어울리고 한가지 단점은 좀 따가운게 없지않아 있지만 전 따가운걸참고 예쁨을 선택해서 잘입고다니고있어요 ㅎㅎ 고고싱 짱
wnre**|너무 예뻐서 뜯다가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엉켜버려서  푸는데 잘안풀려서 그냥 빵사먹은셈치고 보관만 하고있어요 진짜 이쁜데 ㅠ 하필 너무 신나서 .. 무튼  오천원대 치곤 너무 예뻤어요 여러분도 저처럼 무식하겐 뜯지마세욤 .. ☺️
hyevin**|이뻐요ㅠㅠㅠ 팔 기장 너무 길다던 예전 댓글들 많던데 확실히 반영해서 리뉴얼된건지 팔기장 딱 적절하구요 전 팔이 좀 긴편인데 손 중간?정도까지 오게 딱 이뻐요. 몸쪽 기장도 딱 이쁜 길이고 색은 핫초코랑 고민하다가 카라멜라떼 산건데 사진보다는 약간 더 진해요. 핫초코랑 카라멜라떼 중간?에서 약간더 진한?정도 색도 이쁘더라구요. 핫초코도 아마 사진보단 좀 더 진할듯 하네요? 핏도 이뻐요ㅠㅠㅠㅠㅠ 전체적으로 만족합니다. 근데 왔을때 실밥이 좀 나온 부분이 많던데 그정도는 집에서 대충 정리해서 입으면 될 것 같아요.  참고하시구 봄 가디건 하나 필요하다싶으심 구매해보셔도 좋을 것 같아요.
hyevin**|전에 검은색 사고 흰색으로 또 샀어요!! 옷 팔 배쪽 기장 확실히 짧지만 이너로만 입으려고 샀기때문에 전혀 상관 없고 오히려 바깥 옷 팔이 좀 올라가거나 해도 이너로 입은 옷 소매가 잘 보이지 않기때문에 이너로 확실히 좋은 옷인 듯 합니다. 촉감도 너무 좋구요. 전에 검은색 시킨 것 입어보니까 바깥기모라그런가 약간 보풀이 일긴하더라구요ㅠ 그래도 이너니까!! 고민하시는 분들은 그냥 이 가격에 따뜻하게 이너 하나 장만하세요!!
hyevin**|겨울용 남방답게 따뜻할 것 같고 좋네요. 그렇다고 전혀 두껍지 않고 적당히 이쁩니다. 핏도 괜찮은 것 같구요. 무엇보다 촉감이 진짜 좋아요퓨ㅜㅠ 근데 제가 상체에 살집이라기보다 어깨나 이런게 좀 있어서 덩치가 좀 있는 편인데도 약간 커보이긴하더라구요. 좀 왜소하시거나 그런분들은 구매하시기전에 고려해보세요. 여튼 옷은 이쁘고 좋아요. 색은 그냥 딱 크림입니다.
hevin**|색깔 이뻐요 브라운보단 코코아 색깔이에요 좀 탁하게 진한? 기장이 좀 길긴한데 안에 넣어 입으면 이뻐요 무난무난 싸게 잘삿네어
hevin**|이상한 냄새나구 생각보다루즈한 느낌은 없구여 딱맞는거같아요 그렇게 즐겨입을갓 같진 않아요 그래두 싼가격에 잘산거같아여
hevin**|이뻐요 부들부들하구 기장도 적당해요 니트짜임도 짱짱해서 싸구려 니트느낌 안나구요 주문한것중에 가장 맘에들엇어여ㅎㅎ
hevin**|완전 이뻐여 밑에 팔랑팔랑해서 허리두 얇아보이구 좋아요 위에는 고고싱 폼폼니트? 입니당ㅎㅅㅎ
hyevin**|옷 자체는 생각보다 얇은 편이지만 너무 추운 날씨만 아니면 입고 나가도 딱히 문제될 건 없을 것 같아요. 핏도 그럭저럭 괜찮고 가볍습니다. 하지만 재질이 좀 많이 별로에요ㅠㅠㅠ 촉감이 진짜 별로라 쓸어내릴때는 그나마 나은데 쓸어올릴때? 촉감 너무ㅠㅠㅠ.. 반품하려구요. 촉감 중요하신분들은 좀 고민해보세요.
yumi09**|음 사실 저는 항상 바지를 접어 입는 편이라 ㅠㅠ 155cm를 위한 바지라길래 끌려서 샀습니다 ! 근데 생각보다 저는 조금 짧았어요 ㅜㅜ 다리 길이를 보면 좀 내려입어야하는데 밑위가 안맞아서 밑위를 보고 편하게 입으려면 다리가 너무 보이구요 ㅠㅠ 그래서 밑위부분이 불편하더라도 그냥 다리 길이에 맞춰서 입구 있어요 ㅠㅠ 디자인과 색은 정말정말 꿀인 제품인데 157cm라는 제 키에는 조금 짧았던 것 같아요 ~~ ㅠㅠ 다른 분들도 이 후기 참고하시고 구매하세요 !!!!!! 길이감은 아쉬웠지만 그래도 너무 예쁜 바지인 것 같아요 ~~
vosejeunji**|이렇게나 두툼할줄 몰랐는데 진짜 두툼해서 겨율에 입기 너무나 좋고 색깔이고 딱 내가 원하는 브라운이라서 너무 맘에 들었어요 사진상으로 갈이가 너무 짧아보였는데 입어보니껀 짧지도 않고 딱 원하던 핏대로 나와서 너무 만족스러웠어요
yumi09**|일단 배송에 있어서 배송이 너무 빨라서 놀랐어요 ㅠㅠ!지금까지 고고싱에서 많은 옷들을 샀는데 고고싱 옷들은 항상 빠르게 오는 것 같아요~그리고 디자인 !!! 정말 너무너무 예뻐요 ㅠㅠ 사실 브이넥이라서 많이 파였을까봐 걱정했는데 목걸이 하고 입으면 딱!예쁜 핏으로 입을 수 있을 정도에 파임입니다 !배송에서 디자인, 마지막으로 가격까지 정말 합리적인 구매였다는 생각이 드네요 !! 고고싱 감사합니당 ㅎㅎ
jun**|그레이로 샀는데 위에 폴라티랑 입어도 딱맞고 니트랑 입어도 딱 맞아요. 날씨가 추웠던 날에 입었었는데 바람도 잘 막아주고 가볍고 청순함 그 자체에요 bb
jwg02**|이거.....진짜 실물이랑 똑같아용 예뻐요! 나중에 구매할 의사있습니다 카멜 빨리 사고 싶어요!!!!!
jua23**|완전 보들보들해요 기모가 그리고 옷재질도 맘에 들어요ㅎㅎ 편하게 자주 입고다니고있어요 진짜 좋아요
jwg02**|구두에 청바지 입을 때 신으려고 2개 구매했는데 생각보다 좋아용.!근데 원래 스킨색 말고 커피색상을 사려 했었는데 품절 되서 너무 아쉬웠어요ㅠ
jua23**|이뻐요!!!근데 모델분은 딱 맞아보이는데 입으니깐 약간 부한거같애요 줄여입어야하나 고민중이예요
jua23**|머플러 완전이뻐요 다른색이랑 고민했는데 흔하지않는 이쁜색인거같아요ㅎㅎ 안에 먼지같은게 너무 많아서 떼내고 입었지만 만족해요
jua23**|완전 좋아요!!겨울에 입기 두꺼워서 완전 만족 가격대비 진짜 좋아요 잘산거같아요 생각보다 커서 많이 껴입기도 좋아요
skdus34**|알바할때 입으려고 샀어요 s사이즈 사고싶었는데 품절이라 m사이즈 삿는데 나름 딱맞는거같아요!
jua23**|급하게찍었는데 겨울에는 얇아서 입기에 추웠지만 지금은 입기에 적당한거같아요ㅎㅎ 가볍게 입기 좋아요
skdus34**|벨트길이가 생각보다 길었어요!! 그래도 색도 마음에 들고 유용하게 사용하고 있습니다!!가격대비추천이요
thdus72**|넘 예뻐요 제가 원했던 핏이랑 모양이라서 더 맘에 드네요 크지고 않고 작지도 않고 하의 어떤것에든 다 넣어 입어도 이쁘네요 잘산거 같아요 역시 고고씽 옷은 이쁩니다 ㅎㅎㅎㅎㅎㅎ
1686750581582729**|생각했던것보다 손목길이랑 기장이 좀 길었어요 색은 사진이랑 똑같더라구요 좀 수선해야할것같지만 이뻐용!!
world10**|그냥 가격맞추려고 삿어용 여러분도 그럴거 같아용 그래도 품질은 좋은거같네용 다음에도 배송비 모자르면 구매해야지
world10**|고고싱 코트는 조금 다 품이 넉넉하게 나온듯... 조금만 더 핏이 타이트하면 더 예뻣을거같은데 그래도 나름 만족합니당
note26**|이 가격에 이귈리티면 진짜 가성비 갑이에요! 청바지에 입어도이쁘고특히치마에입으면 세상분위기다가진듯해여...ㅋㅋ놀러갈때마다손가고 평소에 도서관이나 특별한곳이아니더라도 입기좋고 저도모르게 손이가는옷이에요 너무좋아요너무좋아요많이입을거같네용 지금 고민하시고계시면 무조건사세요!!
world10**|제가 살이 좀 잇는 편인데 옷이 좀 넉넉해서 좋아용 소매도 트여잇지만 치마뒤에도 치마꼬리?? 그렇게 트여잇어용
jhj200**|색깔도 이쁘고 옷 재질도 마음에 드는데 배송이 진짜 젤 맘에 안드네요다른거랑 같이 쥬뮨했는데 이제품은 재입고 안내도 안하다가 다른 제품 발송해주기로 한날에 연락와서 재고 없다고 또 기다리라고해서 완전 늦게 받았네요 사전에 안내좀 잘 햇으면
world10**|이거 진짜 좋아요ㅜㅜㅜㅜㅜ 따뜻하고 진짜 보들보들 저는 두개나 구매햇어용 잃어버린다면 다시 구매할의사 백프로
world10**|신발 정사이즈로 삿는데 딱맞아용 신발 뒤꿈치는 둥근데 굽은 네모낳게 생기긴햇지만 만족합니당!!
jhj200**|옷은 이쁜데 생각보다 너무 커요그리고 배송 진짜 느려요
note26**|제가 체형이좀 잇는편인데 친구들도 이쁘다고해주고 분위기잇어보이고 고민중이시라면 무조건사세요!!
fox1217**|색상이 화면과 똑같아요 정말 가격대비해 너무 예쁘고 고급지네요 길이도 넉넉하고 편하게 입을듯해요
ellypark8**|하루만에 배송 왔어요 !!겉에 포켓도 은근 넓구 실용적인데 안에도 수납공간 넉넉해용좀 촌스럽지 않을까 걱정했는데 그렇지도 않구 어느 옷에나 다 괜찮게 어울려서 잘 메고다닐 거 같아용 :) !!
