hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
alfl**|좋네요 ㅎ어깨끈이 약간 얇아서 부실하겠다라는 것 빼고는 괜찮네요가격\이 뭐 저렴하니깐 ㅎㅎ괜찮아요잘매고 다닐께요 ~~~
정은주|어제 가방 받았어요~!!어제 가방 받았어요~~네이비로 받았는데... 너무 예뻐요~~잘 쓸께요~ㅎㅎ
ator10**|싸운드 멜빵 스키니 후기!!이거 블루 시켰는데ㅎㅎㅎ이쁘드라구요!!티랑 같이 시켰어요!!!담주에 학교에서 에버랜드가는데ㅎㅎㅎㅎㅎ이렇게 입구가야겠어요ㅎㅎㅎ앞으로도 자주 이용할께여ㅎㅎ
ator10**|고잉온 티 후기~~이거ㅎㅎ 넘예뻐여!! 좀 얇긴 한데요!!!좋아요!모델 언니가 넘 이쁘게 입으셨길래 바지까지 같이 시켰어요!!같이 입어 보니깐 이쁘드라구요ㅎㅎㅎㅎ
ator10**|873 맨투맨 후기!!이거 싸서 기대 많이 하진 않았는데 이쁘더라구요!!좀짧긴 해두!!모델언니가 입으신 것처럼 안에 남방 입구 반바지 입어보니깐이뻣어요ㅎㅎ잘입을ㄲㅔ요~~♡
ator10**|밀리 맨투맨 레드 후기!!이거 옷이뻐요!!엉덩이 덮어서 좋구요!!근데 팔길이가 좀 길긴한데ㅎㅎ입을만해요!!근데 배송이 진짜 엄청 늦었어요 10일만에 왓어요ㅠㅠ근데 옷이라두 이뻐서 다행이네요 고고싱 자주 이용햇는데ㅎㅎ역시 실망 시키지 않네요무튼 이옷 강추예여ㅎㅎㅎ
jiwon9608**|플레닛 맨투맨 상품후기친구가 주문한건데, 되게마음에 들어해요
이한빛|정말 좋아요!!배송★★★★★택배아저씨도 너무 친절하시구~ 제품도 무사히 도착했어요배송도 오래걸리지 않았구요!!제품★★★★★저는 렌즈를 매일매일 착용하기 때문에ㅋㅋ (써렌을 포기할 수가 없어요ㅠㅠ)눈에 정말 예민하거든요ㅠ자주 빨개지구 그래서 손도 깨끗히 씻고 신중히손으로 렌즈를 세척했었는데 그래도 먼가 찝찝하구 깨끗히 됐나 걱정이 됐거든요친구들이 안경점가면 세척해준다고 하는데 그것도 다른사람들이 썼던거니까 찝찝하구,,,,제가 a형이거든요ㅜㅜㅜㅜㅜㅜㅋㅋㅋㅋㅋㅋㅋ그랬는데 고고싱와서 이 제품을 처음 봤어요~~이런 제품이 있나 싶어서 일단 놀랬는데기계가 작아보이구 성능도 별로 일꺼같아서 고민하다가그래도 일단 구매해보자는 마음으로 구매를 했답니다!!그랬더니!!!!!!!!!!!!!!!!!!!정말 너무 좋은거 있죠ㅠㅠ진짜 이런 레알 좋은 제품을 팔고 있었다니!!건전지를 갈아끼우면서 사용할 수 있고 일회용이 아니여서 일단 정말 행복하구요작동도 정말 잘되구요버튼 누르면 공기방울같은게 생기고 자세히 보면 렌즈가 돌아가면서 세척이 되는게 보여요!!진짜 정말 깨끗하게 되더라구요~!!눈도 더 편해지구요!! 렌즈끼는 분들께 정말 추천해드리고 싶네요~!!관리잘할 수 있는 정말 퍼펙트한 제품이예요언니두 이거 어디서 샀냐구 자꾸 물어봐요 정말 신기하다구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ고장날때까지 매일매일 쓸꺼예요!!말이 너무 길었나ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그럼 고고싱언니들 수고하세염!!
hee3**|2번째군요오웃 기다리고 기다리던 뷰티 아템 ~이야훌 드뎌 어제 받았어요어린이집에서 일하고 오니와있더군요 ㅋㅋ이야훌 ~ ㅋ오자마다 뜯고 ㅋㅋ ㅋ오늘 아침에 출근하기전 살짝사진과 함께 글 적어요 ^^ ㅎㅎ감기조심하세요 ㅋㅋㅋ확실히 바르는거랑 안바르는거랑 ㅋㅋㅋ잡티가 없어 보여요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
hee3**|내가1등!거진 일주일 넘게 기다린 완소 아이템들!!!드뎌 어제 받았어요어제 올릴려고했는데 잠이 스르르륵~그래서 지금 새벽 부터 올리러왔어요이거 완소 아이템인듯 완전 강추냄새도 좋고얼굴에 바르고 한 1~5초정도 있으면거품이 스믈스믈 ~ 깜놀 ㅇ-ㅇ그리고 얼굴을 비벼주면은오웃~ 먼가모를 얼굴에 손 끝에 무언가가 뭉치는 감각이 ㅋㅋ강추 합니다!좋ㅇㅏ요 ㅋ잘 쓸게요 ㅋㅋㅋㅋㅋㅋ아침부터 몬난 얼굴 죄송 ; 가렸어요 ㅋㅋ총 4개 시켰는데 세개만 왔어요 ㅠ감기조심하세요 ㅋ~ ㅋ
cakr08**|그대로에요~화면과거의 똑같구요이쁘네용말라보이기도 하구용~
alsu19**|^^솔직한후기를 남겨보겟습니다가격대비해서 잘그려지고 좋긴한데요바르고나서 굳기기다렷다가 딱눈뜨면 좀갈라지는게 보이네요그리기 쉬울것같았는데 펜이 멀리잇으니까 그리기가 조금어려웠어요그래도지속력은 good인것같네요 잘안번지기도하고..어쨋든만족합니다 ^^;
zxcv97**|오*_*짱조아여배송기능 ★★흐유..뭐때문인지 배송이 일주일이넘게 걸렷드라구요!!ㅠㅠ그래두 제품에 와서 정말행복햇숩니닷!ㅎ제가 너무기다렷던터라 택배아저씨가온다고 한전화를받고 아파트동앞까지나가서 기다리고잇었는데어딜가셨는데 너무추워서 일하는데 방해되실까바 아파트앞에서 기다릴께요 라고 문자를 슝슝~보냇는데ㅋㅋㅋㅋㅋ아진짜 택배아저씨 귀여우세요!! 예 라고 ......ㅎㅎㅎㅎㅎ진심 저 답장 보고 즐거움을 느꼈지요상품기능 ★★★★★오옷#_#이거 제가 생각햇던것 보다 훨씬~좋은데요~?ㅎㅎ 일단 사진을 보실까영?ㅇ_ㅇ사은품이랑 제가시킨것들이에용!!ㅎㅎㅎ전체적으로 만족했구요!!이ㄱㅔ 막꺼냇을때 따끈따끈한렌즈세척기에욧!!ㅎㅎ 저는파란색이왔네요!! 저색깔은실제색과가장흡사한것같아용~홋.. 혹시나해서 렌즈통? 을빼보니까 꽤깊네요!그래서 렌즈집게랑 뭐하나가더잇었던거군요!!!!!!흐흐 이제 작동을 시켜봐야지요보글보글거리는게 보이시나요~? ㅎㅎ 완전 저신기해써요!!!!오늘 렌즈목욕한날 ㅎㅎㅎㅎ만족도★★★제가 립앤아이 리무버와 아이라너와 팩, 솜, 그리고 요거!를샀는데 제일중요한 리무버와 아이라이너가 안왓지모에용ㅠㅠ 그래서 전화를했지요!! 친절한언냐꼐서 죄송하다는 말을하고 가져다주신다했으니 믿습니닷!ㅋ구롬 여기까지.. 내일 시험 마지막날인데 요로구잇네영흐이유ㅠ상품후기 ★★★★★★우앙ㅇ요거저는 별여섯개!;없내..... 별하나....ㅎㅎ 제가만들어요완전 세척하고 끼니까 이물질도 하나없구요!! 정말든든해요! 이게 잘작동은되려나? 정말잘 닦일까? 고장은잘날까?요런궁금증을 싹다 해결해주엇답니다!!ㅎㅎ 작동은 아주아주 튼튼하게 잘되구요! 정말잘닦여요!!>_<그리구 마지막 고장!!ㅎㅎ ㄷ뒤에 무슨 고무가 요렌즈세척기를 받혀주고잇어서 든든하니 걱정마시구 구입!1하세요 ㅎㅎ
alsu19**|음..!저는개인적으로 이향기가좋앗는데 친구는 약냄새가난다고 별로안좋아하더라구요발라보니.. 음 정말 잘바르셔야할것같아요 그냥바르니까 쥐잡아먹은애처럼보여요조금발라서 마르기전에펴발라야할덧 .. 그래도 가격대비 좋네염..^^
alsu19**|기대이상밑에분말씀하신것처럼 가격대비 기대이상이네요뭉치지도않고 골고루 잘발리구요 오래가네요추천해드리고싶어요
dlsgp01**|이뻐용색깔하고디자인은정말최고에요 ㅋㅋㅋㅋㅋ발도작아보이고~240주문햇는데딱..맞네요 쫌너무딱맞아서발이아프긴하지만..1신다보면갠찬아지겟죠뭐~ㅋㅋㅋㅋ근데신발모양이..쫌불량이에요ㅠㅠ신발끈넣는부분이..짝짝이로되잇어요 ㅠㅠ 왼쪽신발이.....이상하긴하지만..뭐..갠츈해요그래도맘에들어요1이뻐요~
cm19**|너무 예뻐요~!친구가 가방이쁜 곳 없냐면서 묻길래 얼른 고고씽 추천해줬쬬!!>ㅇ<~! 잘했죠^ㅇ^;;ㅎㅎ?...친구부탁으로 사게된가방~ㅎ.ㅎ 이뻐요 이뻐요 ♡이런거 요즘잘가지고 다니잖아요 너무 흔한건 싫어서 이걸로 바로 결제ㅋㅋㅋㅋㅋ파랑색으로 샀는데 너무튀지도 않고 이쁜색깔이에요~!^_^배송도 빨리해주시구요 , 고고씽애용할께요~!♡.♡
gpfud5**|레드배송:★★이거 진짜 문의 몇번 적고,전화하고,문자하고 난리쳐서 9월 28일(화요일)에 입금해서 오늘 밤10시에 왔어요. 그만큼 급했거든요. 선물주는 친구도 지치고 저도 지친 지갑이였어요.지갑상태:★★★지퍼부분 상태가 좀 실망했어요. 뒷부분에 조금 글킨 자국도 있고요. 선물하는거지만 갠 뭐라고 생각할지... 여튼 사진보단 연해요.서비스:★★★★아진짜 배송아저씨 왜그래요?ㅡㅡ 저녁10시까지 받아야 되서 전화하니깐 진짜 짜 증나던데요? 아저씨 때문에 서비스 따위 0해버리고 싶었는데 사은품이랑 포장상태가 진짜 좋았어요. 저희 언니가 가격물어보길래 9000원이라고 하니깐 거짓말 하지 말라고 하더라고요. 그만큼 진짜 좋았어요. 포장상자는 사진빨을 안받아서 안올렸어요. 그리고 고고싱 언니들 너무 친절했어요. 약속안지키는 공장한테 하는 마음으로 적었는데 다시 생각하니깐 진짜 죄송하더라고요..근데 진짜 공장 짜 증났어요 ㅡㅡ
