cakq09**|치마 받았는데 너무너무 예뻐요~ 흰색니트에 입었어요 밑단이 약간 별로긴했지만 크게 신경쓸 부분은 아니었고 벨트 착용한게 더이쁩니당
cmzntl78**|봄,여름에 입고 다니기에 무난한 치마이고얇은 편이며 꺼칠꺼칠하지않아서 좋네요그리고 속바지가 달려있어서 따로 속바지 안입어도 되고 지퍼를 다 잠궜을 때 허리가 되게 슬림해보이고 핏이 예쁘게 나와요그리고 저같은 경우 힙이 커서 딱 달라붙는 치마는 안어울리는데 A라인이라 핏이 더 예쁘게 나와요길이는 생각보다 조금 더 짧은 편인거같아요 치마자체가 하늘하늘하면서 굉장히 가볍습니다세일해서 이정도 가격이면 괜찮다고 생각합니다:)
rlaguswn3**|진짜 진짜 이뻐요!! 요즘 옷이 거의 다 길게나와서 상체가 짧은 저에게는 ....한숨...이랬는데 길이도 적당하고 목부분도 너무 이쁘답니당 근데 초큼 펑퍼짐한것도 있어요
gkrtod24**|이뻐요 따뜻하구 색도 맘에들어요!!!!근데 생각보다 좀 길어요 어중간...하지만 맘에 들고 자주 입을것 같아요
gkrtod24**|이뻐요 따뜻하구 색도 맘에들어요!!!!근데 생각보다 좀 길어요 어중간...하지만 맘에 들고 자주 입을것 같아요
gkrtod24**|생각보다 길고 커서 놀랏어요 브라운삿는데 색은 정말 맘에들엇아요 너무 길어서 어째입어야할지 고민되여
gkrtod24**|밑단이 조금 마음에 안들엇지만 쫀쫀하고 맘에 들어요 정사이즈 입었는데 딱 맞는것 같아요!!!
gkrtod24**|이뻐요!!과하지만 깔끔한 옷에 포인트되서 좋은것 같아요 근데 살짝 무거운감이 있지만 그래도 너무 이뻐서 애용할것잍아요
gkrtod24**|이뻐요 따뜻하구 색도 맘에들어요!!!!근데 생각보다 좀 길어요 어중간...하지만 맘에 들고 자주 입을것 같아요
wjdals**|아이보리 꼭 사세요ㅠ ㅠ 진짜 여리여리핏에 짱 이뻐요 ! 분홍색 색감도 예뻐서 하나 더 살까 생각중이에용 !
wjdals**|모델 착용한 사이즈 샀는데 딱 맞고 핏도 짱 이뻐요 ! 딱 원하던 바지였어요 ! 하지만 처음 왔을 때 지퍼가 좀 이상해서 괜찮겠지 하고 그냥 종이 떼버렸는데 ㅠ ㅠ 이상한게 맞았어요 불량이였나봐요ㅠㅠㅠㅠ 교환안되니까 그냥 해탈하고 신경써서 입는중입니다 불편하지만 ㅠ_ㅠ 다음에는 불량안걸렸으면 좋겠어용 ㅇ.ㅇ
shvv1**|검정색 샀다가 마음에 들어서 그레이도 추가구매했어요~~도톰하고 길이 적당해서 코트나 패딩 안에 입기 제일 적당한 니트인듯!!
shvv1**|목부분이 폴라까지는 아니고 반폴라 느낌인데 답답하지않게 올라와서 편하고 따뜻해요~ 밑부분은 약간 소매처럼 말려 올라간 느낌이라 바지안에 넣어 입는걸 추천...
shvv1**|재질 완전 부드럽고 따뜻해요!길이도 적당하고 반접어서 그대로 두르면 딱맞아여다른색도 살 예정입니다~
snjdyh07**|이 옷을 살까말까 10번 넘게 고민을 했는데 다른 옷 시킬 때 같이 시켰고 배송이 빠르게 와서 입어 본 결과 오버핏이라 마음에 들었고 입고 밖에 나갔을때 춥지 않아서 좋아요♡♡
shvv1**|키는 160대인데 바지 접어입는거 좋아해서 170옵션으로 샀는데 만족! 접어 입어도 발목 안시려워서 좋아요근데 이염현상 있다는 글 못보고 입어서.. 이미 흰색 니트에 파란색이 묻어버림... 꼭 한번 세탁하고 입는걸 추천합니당..
snjdyh07**|초겨울용이라고 해서 샀는데 봄 가을에 입으면 딱일것 같아요!길이도 적당하고 그리고 브라운이 눈에 띄어서 샀는데 진짜 잘 산거 같아서 너무 만족해요♡
