sim45**|이 옷을 배송후 봤는데사진보다 실제가 더 예쁘다.잘 산거같은데..........좀 큰 것 같다.그치만 예쁜 거 같다
wertsd**|가을야구 갈 때 사고싶었는데 이번에 엄청 싸게 세일해서 바로 샀어요 ㅋ 빨간색 쨍쨍하고 존예 인정 눈에 확 들어오고 색감 고져스 오져쓰요ㅎ
wertsd**|잠궈서 입기에는 단추가 너무 크고, 풀어 입기에는 주머니가 없어서 어정쩡하고 색깔은 겉옷(코트)색이라 전체적으로 복고스러워요.
wertsd**|다홍색 채도가 사진보단 좀 낮은거같아요. 폴라랑 입었는데 쨍한느낌이 덜하네요. NEVER 글귀는 그냥 신경 안쓰는걸로
lehan**|길이도 이정도에 이런 느낌 원피스를 찾고있었어요 근데 이 원피스가 딱 보이더라구요 그래서 바로 샀죵 ㅎㅎ 너무 마음에 들어요 그래서 유용하게 잘 입고 있답니다 초겨울까지는 무리없이 입을 수있을거같아요 톤도 가을 겨울과 잘 어울려서 너무 만족스럽네요~
wertsd**|키 작은데 총장 안 길어서 좋았어요. 청바지랑 입어도 괜찮고 목부분은 좀 넓으니 안에 레이어드 해서 입는게 좋을거 같아요.
sa20009**|이건 진짜 꼭 사세요. 왜 안사요? 진짜 너무너무 예쁘고 위 아래 세트로 사서 입으면 더더더더더더더 예쁘고 벨트까디 하면 더 예뻐요!!!!! 생각보다 두껍고 안 꺼칠꺼칠하고 그냥 너무 예뻐요
sa20009**|이건 진짜 꼭 사세요. 왜 안사요? 진짜 너무너무 예쁘고 위 아래 세트로 사서 입으면 더더더더더더더 예쁘고 벨트까디 하면 더 예뻐요!!!!! 생각보다 두껍고 안 꺼칠꺼칠하고 그냥 너무 예뻐요
wertsd**|독서실에서 자주보이길래 하나 샀어요. 추워서 잘 안입을거같지만 스키니보단 아무래도 레깅스가 더 편하죠 하체 부담 덜해서
wertsd**|양털 자켓에 입으려고 베이지도 샀어요. 보들보들한건 좋은데 한번 착장하고 하루 지나니까 생활보풀 있네요. 겨울옷들은 피할 수 없는듯
lehan**|겨울에 사용할 핀을 찾고있었는데 요게 눈에 띄어서 사게 되었어요 색감도 마음에 들고 따뜻한 재질이라서 유용하게 활용될것 같아요예쁘게 잘 사용할게용 다른 색도 사고싶은 생각이 많이 드네요고민하고 계신 분 하나 사보시면 후회안하실거예용
