chsj**|수학여행때입을려구샀는데. 너무 이뻐요!!!❣️❣️전 나름만족해용~~~사이즈도 딱맞는거같아요!!고고싱
wldud04**|생각했던거 보다 짧고 스판끼가 전혀 없는 면이라 당황했지만 딱 잡아주는 느낌은 있어요 근ㄷ 입다보면 속바지가 계ㅗㄱ 말려올라가서 좀 아쉬워요ㅠ
wldud04**|옴청 얇고 찰랑거리는 재질은 아니에요 가을에 입기 좋은거 같아요 치마나 청바지에도 입으면 포인트가 되는거 같아 이뻐여 단추가 진주인것도 맘에 들어요
jhl0207**|배송역시너무빨라서정말좋았어요 다만엉덩이는딱맞는데허리가너무커서핏이별로안이쁘더라구요 벨트를해야만할거같네여 그래도이가격엔혜자라너무좋네요 키가큰데도많이짧지않아서좋아요 감사합니다
wldud04**|소매트임이 포인트가 되서 이뻐요 소재도 요즘날씨에 입기 딱 좋은거 같아요 치마나 바지에 넣어입으면 핏이 이뻐서 자주입게 되네요^^
jieun98**|생각했던것보다 옷 색상이나 재질이 너무 좋아서 잘산것같아요~~~고고싱에서 옷 산적이 처음이라 걱정했는데 다행인것같아요~~다음에도 또 사야겠어용!!!
syyi**|배송도 완전 칼같이오고 매우만족해요! 이런가격에 이런퀄리티까지... 완전감동이에요 ㅠㅠ 롱패딩중에서 이렇게 저렴한가격도 찾기 어려웠고 또 전키가작아서 저한테 맞는 롱패딩두 찾기 힘들었는데 고고싱 롱패딩은 모든면에서 저와딱맞게 갖춘듯해요! 질도좋고 요즘 날씨 쌀쌀한데도 입자마자 더웠네요 그만큼 보온성도 짱인듯해요 ㅎㅎ 남자친구랑 같이샀는데 겨울에 많이 입고다닐께용
sys9508**|살까말까 고민했는데 사길 잘했어요ㅠㅠ 색도 연한 베이지라 이쁘고 길이도 딱이에요 ! 맘에드네용:) 잘입고다닐꺼같아요~~
sys9508**|요즘 치마바지가 편해서 잘 사는데 이번에도 성공했네요 아이보리색 샀는데 안에 바지가 있어서 비춤도 없고 바지덕분에 편하게 입네용
selina09**|좀 박시하기만 하고 다 괜찮은거같아요.이건 꼭 사야될거같습니다. 사서 예쁘게 코디하면 정말 잘어울릴거같아요. 완벽해요.
selina09**|화이틀를 샀는데 좀 많이 펑펑짐 하더라고요. 근데 디자인은 마음에 들었어요. 사시는걸 추천하지만  사이즈가 안맞을수도있으니 잘 선택하는것을 추천해요.
selina09**|검정을 샀는데 사진으로 보는것과 같은 비주얼이지만. 더 옷이 얇아요. 의왜로 얇은것을보고 추울수도 있다는 생각도 했어요. 근데 옷은 얇은것 빼고 다괜찮은거같아요.
selina09**|핏이 좋구요. 길이도 적당해요. 저만 그런지 몰라도 옷에서 않좋은 냄새가 나더라고요. 그거 빼고는 다 괜찮은거같아요. 배송도 빨라요. 꼭사시는걸 추천해요.
selina09**|색도이쁘고 길이도 적당해서 좋아요.사진은 없지만 모델이 입은신 핏그데로 입으니 이뻤어요.꼭 사시는게 좋을거같아요. 한번 쯤은 입는걸 추천해요.꼭 사시는게 정말 좋을거같아요.
yeryn3**|배송은 아주아주 빨랐어요!!색은 와인이랑 버건디 섞어논 딱 이쁜 색!! 색깔 너무 잘뽑았네욤 두께감도 적당해서 지금 입으면 딱 좋을거같아요 같이산 검정 스커트랑 입으면 딱 좋아요! 길이는 엉덩이 중간정도 되요 근데 팔이 좀 짧은감이 없지않아 있달까 제가 팔이 길어서..하하 그래도 괜찮아요! 어깨도 딱 맞곻ㅎ
kyj07**|완전 예뻐요 색도 이쁘고 핏도 이쁘고 딱 좋아요색이 진짜 잘 빠진거 같아서 너무 마음에 들고 사이즈는 다리는 맞는데 허리가 좀 작아서 살 좀 뺴고 입을려구요마음에 듭니당
kyj07**|우선 옷이 예뻐요조금만 더 박시했으면 딱 예쁠거같은데 그래도 완전 박시는 아니지만 어느정도 루즈핏으로 예뻐요색은 딸기우유색에서 톤다운된 색이고 오히려 더 예쁜데 질이 좀 아쉬워요ㅠㅠ 좀 까끄러운? ㅠㅠㅠ그치만 잘 입고다닙니당 예뻐요!!
kyj07**|색이 생각보다 진했지만 오히려 더 이쁘고 좋아요!가을,겨울에 신으면 딱 예쁜색이고 생각보다 너무 에뻐요잘 늘어나지도 아니지도 않은 딱 괜팒은 중간 늘어남이고 좋아용
yeryn3**|배송 정말 좋아요..하지만 저의 사이즈 미스.. 고고싱 직원분 후기 보고 나랑 사이즈 똑같은 분 있어서 그 분 믿고 L사이즈 샀는데!! 커요ㅠㅠ 허리가 주먹 하나는 들어가더라구요..길이도 제가 생각했던거보다 살짝 길었어요ㅠㅠ 근데 편하긴 편하더라구욤 여기에 벨트하고 다니거나 줄일려구용 안에 바지 달려있어서 활동하기에도 편해요 따로 속바지 안입어도되요!
seonwoo27**|재질이 빳빳하다길래 나갈때도 입을수 있겠다 싶어서 구매했는데 리본때문인가 생각보다 잠옷같네요ㅜㅠㅠㅠㅠㅠ 그래도 뭐 자주 입을려고 했는데 어머니가 탐내시는 것 같아서 어머니 드렸습니다ㅋㅋㅋㅋㅋ 저희 엄마는 되게 맘에 들어하시더라고요. 저도 가끔 입겠지만 저희 어머니가 애용하실 것 같아요. 사진은 제 사진입니다. 감사합니다 고고싱~
anatta**|3주 만에 받아서 별 하나 뺍니다일단 옷은 정말 예뻐요. 그런데 단춧구멍에 비해 단추가 작아서 맨 윗 단추가 자꾸 빠지네요...ㅠ
yeryn3**|배송 진짜 빨라요..그저께 밤에 입금했는데 다음날 바로 출고되서 오늘 땋.. 역시 고고싱 배송 너무 맘에 들어요제가 저번에 다른 쇼핑몰에서 단가라티 샀다가 실패해서 잠옷이 된 단가라가 있어서!! 다시 한번 단가라를 사봐야지 하고 샀는데 이건 어깨도 별로 안넓어보이고 핏도 너무 예뻐욤 길이가 살짝만 짧으면 좋을거가타용 너무 이쁩니다♥ 제가 키가 큰편인데도 길이감 길어서 좋아요 믿고 사는 고고싱 사랑해여♥
dhwogml**|별 기대 없이 구매했는데보니까 이뻐서 놀랐어요 ㅎㅎ핏도 줄무늬인데 어깨 넓어보이지 않구박시하긴한데 여리여리 해보여요 !색도 화면이랑 똑같아요 !!!
