khwkhw07**|일단 배송이 빨랐고 화이트를 샀는데 받았을때 너무 예뻤어요!!키가 큰편은 아니라서 크진않을까 걱정했는데 살짝 박시하게 잘맞았어용면이 부드럽고 시원해요
jyr39**|동생이 멜빵 청치마가 갖고 싶다고 해서 찾고 있었는데 마침 세일하길래 샀습니다. 동생이 160이 조금 안되고 몸무게도 50이 될까 말까 입니다동생한테 딱 맞더라고요 저는 골반때문에 못입고요...작고 아담한 분들이 맞지 싶습니다 그래도 핏은 이쁘더라고요!!
jnh45**|편하고 이쁜 블랙 티셔츠를 찾고있었는데 넉넉한 사이즈에 프린팅도 이쁘고 슬랙스에 맞춰입기도 너무 이뻐서 남색도 살까 생각중이에요! 루즈핏이 너무 마음에들어요~
jnh45**|사이즈가 넉넉해서 편하게 입을 수 있는 티셔츠인것 같아요!! 에코백도 같이 샀는데 에코백이랑 너무 잘 어울리고 차분해보이는 느낌이 들어서 좋아요!
jnh45**|색상이 그린보다는 청록에 더 가까워서 좀 아쉽긴한데 프린팅이 너무 이쁘게 되어있어서 편하게 입고 다니기 좋은것 같아요!!
syp54**|단추가 끝까지 달린게 아니라서 밑에서 트임처럼 벌어지는데 그래서 그런지 그부분이 포인트가 된거같아요 그리고 앉을때 더 편해요! 끈을 허리에 묶어도 예쁘고 안묶어도 예뻐요 ! 정말 살지 말지 고민하신다면 사세요 ! 후회없는 선택일겁니다 ❣️
jnh45**|세련된가방인거 같아요!! 심플하면서도 독특한 느낌의 가방이어서 들고 다닐때마다 가방이 이쁘다고 다들 그래요~! 안에도 많이 들어가서 딱 좋은거같아요!!
jnh45**|재질이 흐물흐물 하지 않아서 각을 맞고 이쁘게 보여주는 에코백이에요!! 너무 마음에 들고 제가 가방에 많은 것을 집어넣는데 모양이 너무 이쁘게 잡혀요ㅠㅠ 심플한 프린팅도 너무 마음에 들어요!!
jyr39**|동생주려고 샀었는데 어쩌다보니 동생도 똑같은 걸 사버려서 제가 입어용흰색이라 조금 비침이 있지만 핏도 괜찮구 아주 이쁩니다
sange12**|정말 이뻐요♡놀러갈때 이쁘게 잘쓸께요^__^♡
swmh4**|245-50 사이즈라 뭘 살지 고민이었는데 그냥 245 주문했어요. 다행이 발에 딱 맞아서 너무 좋았고 너무이뻐요 !!! 원피스에도 잘 어울리고 기본 스타일에도 잘 어울릴거 같아서 좋아요 ㅎㅎㅎㅎ
jji12**|와 이건 진짜 말이 필요없어요 너무 이뻐요ㅠㅠ치마입엇을때 라인도 진짜 이쁘고 핏도 걍 짱짱 저 원래 후기 잘 안쓰는데 이건 너무 이뻐서 써야겟어요뷰ㅠㅠㅠㅠ 진짜 너뮤이뻐여 그냥..말이 필요없어요 벨트까지 세트인둘 알앗는데 벨트는 세트 아니라서 아쉽긴한데 사서 같이 입어야겟어용 진짜 넘나 이쁜것 ㅠㅠㅠㅠ♡고고싱 진짜 배송도 엄청 빠르고 너무 조아요 ㅠㅠㅋ♡앞으로도 자주 이용할게염♡♡
tngusle**|너무예뻐요이가격에 이런 제품이나온다는거 자체가 신기할정도!!!길이도 너무 짧지않아서 잘입을수있을거같아요뒤에허리끈포인트도 그렇고 여성스럽네요
hee16**|제가 보라색을 좋아하는데 다른데 다봐도 보라색티를 못찾다가 여기서 찾아서 디자인도 맘에들고 해서 시켰는데 걍막입을정도로 예쁘네요 근데 저희엄마는 후줄근해보인다고 그래서 쫌 속상했어요
hee16**|저 원래 발드러내는거 싫어해서 샌들 잘안사고 안신는데 이건 후기보니깐 청바지에 신어도이쁘고 데일리로신기 좋을꺼같아서 사봤어요 ! 신어보니깐 발뒤꿈치나 이런데 까지는거도 전혀없고 완전 짱 편했어요 ㅋㅋ 근데 굽이 조금있어서 저거신고 여기저기 몇시간 돌아다녔더니 발이 조금아프더라고요 그래도 통굽이라 저같이 발목잘삐는 사람들한테는 좋을꺼같았어요 예쁘게잘신겠습니닷
swmh4**|네이비랑 화이트 고민하다 결국 네이비로 구매했어요. 바로 입었을때 제 몸에 옷이 맞는다는게 너무 좋았고 디자인이랑 핏에 한번 더 좋았던거 같아요 ! 살이 골고루 찌는 편이라 팔뚝에도 살이 많아서 쫄티 같은건 못입는데 이건 제 팔뚝 , 뱃살 모두 라인을 이쁘게 잡아줘요 ㅜㅜㅜ 진짜 화이트를 또 구매해야하나 엄청난 고민을 하고 있답니다 ㅜㅜ 여러분 후회안해요 꼭 구매하세요 !!!!!!
tngusle**|편하고 옷받쳐입기 좋은 스타일재질도 괜찮고 시원하게 잘입을 수 있을거 같아요이것저것 사다보니 와서보니까 비슷한스타일로 꽃무늬만 세개를 사버렷네요..잘입을께요
hidyk**|좋아요!!원피스나 뷔스티에 안에 레이어드 해서 입으려고 샀는데 그냥 입고 다녀도 될것같아요ㅎㅎㅎㅎㅎ맘에 듭니당!!
