kis77**|딱제가원하는핏이레요!!!!원단도 만에들구 편해요!!길이만 조금짧았으면 더이뻤을템데 아쉬워욯ㅎㅎㅎ나시색깔도이뻐서 갈색 베이지 샀네용 실밥도 안튀어나오고 딱좋아요ㅎㅎㅎ
owo1**|모자 예쁘고 귀엽습ㄷ니다~여러가지로 연출 가능하구요!챙도 넓어서 햇빛도 가려줘요ㅋㅋㅋㅋㅋ
aldo74**|박시라고 해서 삿는데 그렇게 박시한편은 아니엇어요그렇게 등치가있는편도아닌데 박시하지않아서 아쉬웠어요ㅠㅠㅠㅠ
aldo74**|배송은 2~3일 걸렸고 배송기간은 적당한거같고 와서 입어보니 사이즈는 넉넉한편이에요 다른색으로 하나 더사려구요ㅎ
rnjstmfrl**|얇은 여름셔츠가 필요해서 구매하게됐는데 생각했던것보다 훨씬 더 얇긴하네요 ㅋㅋ그렇다고 질이 안좋은건 아니에요 무난하게 입을수 있을것같아요 좋아영고고싱에서 구매한 원피스랑 같이 코디했어용
rnjstmfrl**|이거 제 인생 치마 해도 될거같아요 와 진짜 너무 이쁘네요ㅠㅠㅠ모델분이 입으신 코디대로 저도 위에 검은색반팔티 입고 입으려구요 ㅠ.ㅠ너무 이쁩니다상의 입은건 무시해주세여...ㅎㅎ택배 오자마자 입느라 ㅎㅎ
rnjstmfrl**|구매할 당시에는 후기가 하나도 없어서 걱정했는데 노란색 예쁘네요ㅠ 적당히 파여서 쇄골부분도 보이고 여성스럽기도하고 귀엽기도하고 예쁘네용
rnjstmfrl**|원피스 구매하려던 찰나에 후기가 많은거 보고 예뻐서 주문했어요 ㅠㅠ가슴 부분이 너무 예쁜거같아요 여성스럽고 남친도 예쁘다구하네용ㅎㅎ
yezi09**|첨에는 엥.. 무슨 이런 옷이 이렇게 생각햇는데 냄새도 쥼 이상하고 망했다 ㅜㅜ 이랫는데 입어보니 나름 괜찮더라구요 ~ 목부분이 살짝 어색하게 짜임되어잇디만 같이 시킨 꽃 ㅇ ㅓㄴ피스랑 입으면 넘넘 시원해보이고 예뻐요 ㅎㅎ 이번 쇼핑 다 성공해거 너무너무 좋습니다 !! 감사해여 고고싱 ~~~~!
yezi09**|진짜 !!!! 생각보다 너무 예뻐요 다들 예쁘다고 하길래 얼마나 예쁘면 저러나 하고 시켜봤는데 밑에 떨어지는 라인듀 나무 예쁘고 끈조절할수있는건 진짜 혁명☆ 너무너무 예쁘고 허리라인도 나름 잘록하게 들어가서 너무 만족스러워용 ㅠㅠ
rnjstmfrl**|천이 무지 얇긴 한데 디자인이 너무 예쁘게 나왔어요 ㅎㅎ 하도 후기가 좋길래 구매해봤는데 역시 실망시키지 않네용 대신 자크 올릴때랑 내릴때 조심해야될거같아요ㅠ 찢어질거같은느낌
yezi09**|검정색 시키려다가 온통 제옷이 검정이라 흰색으로 시켰는데 생각보다 예뻐요 ~ 근데 목부분이 너무 늘어나있는것처럼 살짝 늘어져있어서 빨래할ㅋ대 조심해야될거같아요 ㅠㅠ 좀 장짱하게 면티엿으면 좋앗을텐데 ㅜㅜ 그라도 예쁘니까 잘 입을개오 ㅎㅎ
sloved11**|네이비- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)네이비 색상구매했구요생각보다 팔쪽에 통이커서 속옷까지 보일기세 ㅎㅎㅎ그래도 편하고 이뻐요 ㅎㅎ 무난하구ㅎㅎ배송은 다른 쇼핑몰보다 캐빠름빠름~.~이뿌게 잘입을께요 ㅎㅎ 오늘도 또 다른티 구매하러갑니당 ㅎㅎ고고싱좋아횽 :))
yezi09**|색도 영롱하니 딱 제가 생각한 옷이에요 ~~ 여행가서 간단하게 입을때나 잠옷으류 좋을거같아요 ㅎㅎ 사이즈가 생각보다 박시해서 남동생 휴가나오면 빌려줘도 될거같네용 ~~~ 예쁜 옷 감사합니다 !
sloved11**|화이트- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)역시 고고싱 배송은 엄청 빠른거같아요 ㅎㅎ전 화이트 색상으로 주문했구요 그냥 무난해요 ㅎㅎ얇아서 지금 입기 딱좋고, 비침은 어느 화이트 색상티를 입어도 비치니까 ..ㅎㅎ그냥 무난하게입기 좋아요 ㅎㅎㅎ잘입겠습니당~~:))
ksd12**|여름이라 자주 머리를 묶고 다녀서 하나쯤 있으면 좋을거같았는데 진짜 이뻐요!!다른분들이 살짝 옆면을 넓게해서 하시던데 전 얇은게 좋아서 여러번 접어서 했어요 상품자체가 큰거라 저렇게 묶으니 좀 많이? 남는거 같더라고요 덕분에 다양하게 연출도 할수있어서 좋은거같아요
ksd12**|상체가 좀 긴편이라 평소에 하이웨스트바지 자주 입고 다니는데 아주 편하고 좋아요! 실밥처리도 잘 되어있고 그런데 연청을 샀는데 완전 연한색이 아니라 살짝 탁한? 색이 도는 연쳥인거같아요! 그래도 전체적으로 디자인 사이즈 다 맘에 들어서 다른 색상으로도 구매할 예정이에요!
god25**|블랙색상 구입했구용처음엔 끈 어케하는거지? 싶었는데해보니까 너무 이뻐요 ㅠㅠ 제가 팔뚝살만... 빼면 이쁠거같아용!!!!
god25**|화이트 색상 구매했구용! 너무 파이지도않고 은근하게 파여서 좋네용!!!!옷 재질도 여름에 입기에 시원한 재질이구용!!편하게 입어도 꾸민것같은 느낌이 들어서 좋아용ㅎㅎㅎㅎ편하면서도 이쁜?! 맘에들어용ㅎㅎ
u3u**|기본 티가 없어서 샀는데 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요
u3u**|기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요 기본 티가 없어서 샀는데 조금 많이 비치긴 하지만 핏은 예뻐요
u3u**|깔끔해요 생각외로 조금 길어서 놀라긴했는데. 아직 안빨아봐서 모르겠는데 목이 조금 약한것같기도 하고 그래도 편하게 색깔이 이뻐서 입기 좋아요^^ 예뻐요! 깔끔해요 깔끔해요 깔끔해요 깔끔해요 깔끔해요 깔끔해요  깔끔해요 깔끔해요 깔끔해요
