snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
star456**|음.. 처음에 봤을 때는 사진과는 다르게 너무 싼티가 나서 좀 놀랬어요 솔직히 사진에 나온 코디대로 입지 않으면 다른 옷이랑은 못입을 것 같아요 아침에 집에 있는 다른 멜빵치마랑 입으려고 했는데 너무 별로라서 갈아입었어요ㅠㅠ 저 원피스랑 입는건 진짜 강추에요bb
고**|고고싱 잠만보언니 후기154cm / 44~45kg 박시한걸 좋아하다보니 옷자체는 저한테는 크지만 핏이 예뻐서 괜찮았습니다길이가 키 작으신 분들한테는 길이가 길어서걸쳐 입으시거나 넣어서 입으시는걸 강추 합니다남방은 무난하고 괜찮아서 아무대나 걸쳐도이쁘게 나올거 같애요전 이 옷이 비침도 없고 걸치기에도 적당하고다른옷 매칭하기에 어렵지 않아서 걱정이 필요없어서 만족!!!!
star456**|완전 좋아요 얇아서 시원하구요 근데 그냥 입기에는 엄청나게 짧아서 꼭 반바지 입고 입어야합니다 저희 엄마는 반바지 입고 입어도 너무 야하다고 하시긴하더라구요ㅎ그래두 너무 이뻐요♡
star456**|허리는 딱 맞는데 허벅지통이 너무 심하게 커요ㅠㅠ 사놓고 한번도 못입고 있어요 핏이 너무 안예뻐서.. 아무래도 세탁소에 맡겨서 줄여야할 것 같아요ㅜㅜ
star456**|크롭인지 제대로 안보고 샀는데 크롭이라 조금 당황했어요ㅋㅋㅋ 긴바지랑 입기에는 좀 애매하고 그렇다고 테니스스커트랑 입기에도 애매하고 크롭이지만 꼭 넣어서 입어야할 것 같아요ㅜ
star456**|진짜 진짜 짱좋bbbbb 구김도 안가고 진짜 찰랑거리는 소재라서 엄청 시원해요 단점이라면 바람불면 옷이 딱 맞게 붙어서 뱃살이 들어난다는 점..? 그치만 다른 색상도 꼭 구매하려구요!
ghdnjstmf**|바지가 진짜 편해요! 스판이라서 앉았다 일어났다하는것도 부담전혀없고 다리도 잘 잡아줘서 좋아요! 색도 사진그대로 이뻐요! 추천합니다
star456**|속바지있는 버전으로는 정말 예쁘게 맞아떨어졌는데 이거는 좀 쪼여요ㅠ 헣 그치만 옷 문제보다도 제가 살찐 탓이 더 큰 것 같으니 살을 빼러가봅니다..
만인의 **|고고싱 만인의 오빠 후기 176cm / 75kg남자인 제가 입어도 잘맞네요 입기 전에는 좀 작지 않을까? 생각했는데 생각보다 넉넉한 사이즈로 맞네요커플로 입으면 아주 괜찮을듯 합니다여자친구랑 입으면 참 좋겠는데 일단 여자친구먼저 만들고 오겠습니다....그럼 20000
algus10**|별로안더워요 한여름에는당연히못입겟지만 6월중순까지는 충분히입을수있을거같아요엄청편하고 좋아요 ! 이뻐요 ㅎㅎ
algus10**|이뻐요 발목헤짐도 이쁘고 편해요 쫀쫀하고 !다만 허리가조금작게나온거같기도해요 .. 항상 구매하던사이즈보다 좀작네요 근데금방늘어나는듯 ㅋㅋㅋ 이뻐요
algus10**|매일들고다녀요 ㅋㅋㅋㅋ 끈바꿔서 쓸수있어서 어떤옷이든 매치가되요항상 검정가방만 구매하다가 카키구매해봤는데 이쁘네요!
algus10**|트레이닝복이랑 입어도 이뻐요 영문프린팅이 심플하고이뻐서자주입네요 색도 이뻐요 ! 사이즈도 너무크지도않고작지도않고 딱좋아요
1764308217232465**|너무 벙벙할까바 걱정했는데 생각보다 괜찮아서 너무 좋아요!베이비돌 원피스 사고싶었는데 안어울릴까바 걱정했는데 성공했습니다 ㅎㅎ
algus10**|청바지에도 잘어울리고 반바지에도잘어울리고 편하게 이쁘게입을수있어요.재질도 좋고 프린팅도 이뻐서 어디에든잘어울리네요
algus10**|청바지에도 잘어울리고 반바지에도잘어울리고 편하게 이쁘게입을수있어요.재질도 좋고 프린팅도 이뻐서 어디에든잘어울리네요
ghdnjstmf**|길이도 길어서 그 Y존도 덮고 널널해서 입기 좋아요! 팔 소매도 팔꿈치까지오고 얇아서 여름에도 입기 좋아요! 추천합니다!
tlaakfl**|생각보다 옷이 널널하네요시원시원할것같은재질!검정색 무난무난해서 좋아여잘입을게욯ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
cbcb**|여름원단이라해서 입었는데 생각보다그렇게 얇진 않았던거같공 그냥 블랙스키니..ㅎㅎ스판이긴한데 살쪄서그런지 ...완전짱짱한거같지는 않아요!그래도잘입을게요~배송굿
tlaakfl**|요거요거 기대안했던건데 생각이상으로 굳굳 베리굳재질이 튼튼함ㅋㅋㅋㅋ막빨아도 괜찮을듯해요ㅋㅋ아주잘샀음욬ㅋㅋ딥그린♡
tlaakfl**|요거요거 기대안했던건데 생각이상으로 굳굳 베리굳재질이 튼튼함ㅋㅋㅋㅋ막빨아도 괜찮을듯해요ㅋㅋ아주잘샀음욬ㅋㅋ
cbcb**|네이비색깔이쁘네용 시원하규 엄청박시해서 걸쳐입기가더좋은거같네요!배송도엄청빨랐습니등 화이트도 엄청이쁠거같네영 여리여리해보이고~
