760366330840784**|친구와 같이 트윈룩으로 구매했습니당~~끈도 다양한곳에해도 되서 너무 좋았습니다 너무만족해요!
wishj**|배송은 빠른편입니다. 하얀색,검정색 주문했어요. 옷이 얇아서 시원하다는 장점이 있지만 검정색 제외한 다른 색상은 속옷이 비치니 나시를 입든지 하셔야 할듯해요!(검정도 비치는 편이에요!) 가격대비 별 세개 반? 육천원대 였으면 별네개 정도 인데... 작년에 골지 크롭티가 육천원 대로 판매했었던 기억이 있어서...
dhtndus04**|길이 길까봐 걱정했는데 발목 보이고 딱입니당 ! 바지 평소에28입어서 m시켰는데 고고싱바지도 딱맞는거같아용!
lsm05**|핏도 예쁘고 색깔도 예뻐요 퀄리티도 좋아서 사길 잘한 것 같아요. 프린팅 위치도 적절해서 바지에 넣어입으면 예쁘게 보여요
lsm05**|살짝 비치는데 생각보다 목도 잘 안늘어나고 레터링도 예뻐요. 재질이 부드럽다기보다는 살짝 거칠어서 더 시원합니다
lsm05**|사실 타블렛 로고만 없으면 시장에서 파는 회색 티랑 다를 바가 없...지만 타블렛 로고도 예쁘고 그녕 무난하게 입기 ㅈㅎ은 티잊니다
lsm05**|레터링이 뭔가 좀 민망한거 말고는 다 좋습니당.근데 생각만큼 박시하진 않고요 좀 붙는느낌이예요. 다른 티에 비해서 통이 좀 좁습니다
lsm05**|이가격에 믿을 수 없는핏...다른 비싼바지보다 이게 더 예뻐요. 편하고 예뻐서 맨날입음.속는셈치고 한번 사보세요 영업하는거임
lsm05**|고고애서 평소에 스몰입어서 이번에도 스몰샀느데 너무너무 작아서 라지사이즈로 교환했어요ㅜㅠ바지 예쁜데 뭐라고해야하지 좀 붙어서 계단올라갈때 엉밑살 보일거같은기분...아 근데 실제로 보이지는 앟습니다 근데 좀 허전해요.바지는 정말 예쁩니당
kay08**|막예쁘지는않고요 그냥뭐 편하게 그냥저냥ㅋㅋㅋ하고다니고요그럴땨좋으거같아요가방이아뮤랴도크니꺼요  ㅋㅋ
kay08**|즉립금남겨주는거맞쥬??이거그냥입읆..입..입을만한 함 내가긴상의가옶어소그래도 그나마 반품안핢
lsm05**|다룬 반팔티보다 비싼편이긴 한데 진짜 예뿌고 퀄리티있어요. 다만 기장은 좀 길어서 빼입기는 그렇고 넣어서 입어야 할 것 같아요 그리고 핑크색 정말정말 예쁩니다 밝은색 바지랑 입으면 잘어울려요
minchou05**|진짜 데일리 양말이에욬ㅋ 가격도 괜찮고 찢어지지도 않아요 넘이뻐요 후회하지 말고 바로 사세요 후회는 안할꺼에요
lsm05**|여러분 이거 사지말고 다른거사세요 한 번 빨았는데 목부분 좀 늘어나고 너덜너덜해보여서 못입고있습니당ㅜㅠㅠ얇기까지 햐소 비쳐요
lsm05**|제가 키가 커서 그런지 치마가 많이 짧아서 얼마 안되는 밑단으로 치마 늘려서 입었습니다. 만약 내가 키크고 다리 길다 싶으신 분들은 늘일 각오 하고 사세요. 근데 그만큼 예뻐서 용서됨.
lsm05**|생각보다 옆으로 많니 퍼지더라고요...재질은 얇아요. 허리 뒤에 밴딩이 있다보니 날씬하신 분들은 엉덩이 부분에 주름져서 별로 안예쁠것같아요
wjstjsal14**|기대안하고 가격도 저렴한편이라 그냥 잊고있었는데 입어보니까 이쁘네요 ㅋㅋ 사진찍었는데 상의만찍어서 따로 올리지는않겠지만 이뻐요 66까지 입을수있을거같아요 단 비침있어서 이너필수에요
lsm05**|소재도 탄탄하고 좋고 기장이랑 핏도 예쁩니당. 5부바지 사실거면 이바지릉 사라고 감히 추천드리고 싶네여.요즘애 맨날입어요 진짜 완전좋음 사셈
lsm05**|삼천이백원짜리 니트치고 괜찮습니다 만원짜리같아요. 좀 얇긴 한대 어차피 단독으로 입을 거 아니었으니꺼 괜찮을 것 같아요 예쁩니당
lsm05**|여기서 산 티 중애서 제일 퀄리티 있고 예쁩니다.검은색이고 면이다보니 먼지 진짜 잘붙긴 하는데 티가 예뻐서 용서가능합니당
lsm05**|가슴 에이컵이어도 비컵사세요 한 사이드 크게 사는게 좋을 것 같아요. 근데 좀 길어서 가슴이 제대로 모아지지는 않습니다.제대로 붙이기가 좀 힘들어요 그래도 효과는 확실합니당
lsm05**|사진보고 예뻐서 원피스랑 같이 입으려고 샀는데 모델 착샷만큼 안예쁩니당...레이스 부분이 접히고 실밥도 많아서 한 번 다린 다음에 네고하고 신었네요. 양말 자체는 예쁩니다. 목 부분이 그렇게 쫀쫀하지 아노아서 많이 신으면 늘어질거같아요
lsm05**|아직 고등학생인데 으른처럼 입고싶어서 샀습니당. 올때 좀 주름이 많아서 다려서 입었고요 제가 어깨가 좀 있는 편이긴 한데 어깨선 딱맞는 편이에요 부들부들라고 시원하니 좋습니당
lsm05**|귀엽고 예쁩니다 기장도 그냥 평소 양말이랑 비슷하고요. 아니 양말후기를 뭘 어떻게 50자를 남기라는건지 모르겠네 양말에 그려진 댕댕이가 너무 기여워서 볼때마다 기분이 참 좋습니다. 발목부분 쫀쫀해서 이십년신어도 안늘어날거같아요 체고체고
lsm05**|진짜 예쁜데 단 한가지 단점이 있다면 그건 바로 냄새...처음 뜯었을 땨도 많이 나고요 지근 후기찍으려고 방에서 잠깐 신었는데 아직도 냄새나네요. 베란다에 이틀동안 냅뒀는데도 냄새나요. 그거 말고는 발도 편하고 예쁩니다. 평소에 235 신는데 편하게 잘맞아요
lsm05**|미니미니백이라고 했는데 그렇게 작지는 않고요 그냥 무난하게 데일리로 메고다닐 수 있는 사이즈입니당.
lsm05**|사진 좀 어둡게 나왔는데 블랙이지만 실제로 보면 좀 회색같아요. 재질도 좋고 핏도 예뻐서 대충 입고 위에 걸치기 좋습니당
lsm05**|진짜 너무너무 만족하는 슬랙스입니당 진짜 완전예뻐요 저는 M샀는데 솔직히 S사도 맞았을거같아요. 재질도 좋고 편해서 요즘에 거의 맨날입어요
69121687**|정말 편했어요. 아무때나 맞춰입을수도 있고 팔 소매가 넓지 않고 조금 길어서 팔부분도 만족해요!!엄청 얇은건 아닌데 그렇다고 입으면 더운것도 아니라서;;ㅎ 놀러갈때 입었었는데 정말 편하고 심플하면서 예뻤어요!그냥 흰색티라서 자꾸 자꾸 입게되네요~
20092347**|156에 47입니다 허리는 64cm라 m 시켰는데 진짜  짱잘맞아요 허리가 조금 크긴한대  이정도는 앉았을때 밥 배불리 먹고 그러면 편한 바지에요 진짜 꼭 사세요ㅠㅠㅜㅜㅡㅠ 짱돟습니다
69121687**|너무 예뻐서 집에서도 하고 있을 정도로 정말 많이 하고 다녀요~ 진짜 청순해 보여서 분위기도 업되고 너무 좋았어요!옷을 심플하게 입어도 청순열매 드롭귀찌만하면 엄청 예쁠것같네요ㅎㅎㅎ진짜 강추합니다!!! 너무너너무너무 예뻐요~ >ㅇ<
kjy0**|크기가 적당해서 좋아요! 세로로 A4용지들어가고 닫히는정도이고, 가로는 좀더커요 검은색 사고싶었는데 잘 산거 같아요~
dbalswjd6**|전 아이보리 구매햇습니당!! 약간 살집이 있는 편이여서 걱정했는데 뱃살부분 커버도 되고ㅎㅎ 전체적인 길이감으로 여리여리해보이고 예뻐용ㅎㅎ
dbalswjd6**|야자수!!!! 진짜 강추요ㅜㅠ 넘예뻐요 친구도 어디서 샀냐고 예쁘다고 난리입니다ㅜ 야자수 재입고 되면 모두 쟁여놓으세용
dbalswjd6**|박시한 반팔티를 원해서 여기저기 알아보다가 고고싱에서 저렴한 가격에 디자인도 다양하게 나와있어서 고르는 재미도 있더라구용ㅎㅎ 버몬트t 재질도 좋고 얇아서 편하게 입기 좋아용 ㅎㅎ
