tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
hyeni87**|보들보들 촉감이 좋아요 아직 한번ㄴ도 안입어봤어요 ㅠ 다림질 귀찮아서... 얼른 입고 싶어요 화사하게 ~~~ 날 좋아지면 이거만 입게요~~
mayme77**|일단 배송이 엄청빠르게 왔구요 ㅎㅎㅎㅎ 가격도 괜찮고 길이감이랑 핏도 진짜 이뻐요 다른데서 사려다가 여기가 핏이 더 좋은거같아서 여기서삿네용ㅋㅋㅋ 여기서 사길 잘햇슴다 두께는 다들 얇다고 하시는데 얇은건 맞는데 이정도면 봄가을에입기 좋고 요새항공점퍼 비싸고 이것보다 더얇게 나오는경우 많아서 저는 요기서 산거 만족함다 ㅎㅎ재질도 맘에들고 자주 입을고같아용 잘삿네용 추천함다!!! 핏 굿.
hyeni87**|딱 베이직 티! 로 괜찮아요 질도 괜찮고! 담에 다른 색도 하나 장만 할 까 생각중이에요! ㅎㅎㅎ 좋은 옷 감사합니당~~~~~
hyeni87**|촉감이 짱좋아요..... 잘 안구겨지고 맘에 듭니당 ㅎㅎㅎㅎㅎ 이거 입고 봄놀이 가고 싶어요~~~~~~~~~~~~
743861595748964**|으아..주문한지 4주만에 겨우 받았네요ㅜㅜ받자마자 입어보고 착샷올려요ㅎㅎ셔츠는 보다싶이 기본셔츠라 어디든 편하게 입을것같아요.그리고 네모?로 떨어지는 박시핏이라몸매 숨기기 짱이에요;ㅋㅋ재질은 면은 아닌것 같네요ㅎ날 따뜻해지면 기본셔츠로 편하게 입을 것같아요.^^
hyeni87**|허벅지가 조금 끼긴 하는데 예쁘고 편합니당 ㅎㅎㅎㅎ 싸게 잘 샀어여 !!!! ㅎㅎㅎㅎㅎ 요즘 입기 딱 좋음 !!!!!!b
jassic**|너무 잘입고있습니다ㅎㅎ 바지 핏도 너무 예쁘고요! 슬랙스인데도 불구하고 앉을때 되게 편해요!! 다만 제가 살이빠져서 허리가 너무 커져서 슬픕니다ㅠㅠ 사진을 모르고 삭제해버려서 잘보이진않지만 남은사진이라도 올립니다..!작은사이즈로 다시사고싶을만큼 예쁩니다..♡
hyeni87**|와.. 진짜 이렇게 분리 돼있는 옷은 처음 이였어요.. 당황당황 그래도 예뻐요... 잘 잠궈서 입어야겠ㅇ어요 ㅋㅋㅌㅌㅌㅌ
hyeni87**|스카프는 처음 사보는데 짱 귀엽고 고급지고 예뻐용 ㅎㅎㅎㅎ 가끔 포인트 주는 데 예쁠 듯요 ㅎㅎ 담에 다른 스카프 도전해봐야징
lolly15**|제가 가슴이 있어서 그런지 좀퉁퉁해보이지만~굉장히 하늘하늘 예뻐요~신축성이없긴하지만 입고벗을때 큰문제없네요저는~색상도딱비슷해요!
hyeni87**|짱예뻐욤~~~~ 불편할 줄 알았는데 편하고 좋아요!!! 정사이즈로 나온 거 같아요~~ 다음에도 다른 구두 도전합니당
lolly15**|너무예뻐요! 재질도좋고~ 핏도너무귀엽게 잘떨어져요!냄새라든지 그런것도 하나도 않나고~ 너무좋네요!^^잘입을게요~
jassic**|옷 왔을때 등쪽에 라벨을 하얀 실로 꼬맨자국이 있어서 보기싫어서 다뜯었는데 실자국그대로 구멍이났어요ㅠㅠㅠ실밥처리도 잘안되어있어서 제가 다 잘랐고요..누가 반품한 옷을 받은 느낌이었어요.. 하지만 예쁘긴 예쁜 옷이긴해요 디자인은 정말 마음에 듭니다ㅠ
jassic**|옷왔을때 이상한 냄새났고 입어보니까 좀 크고 어깨쪽이 솟아있어서 마음에 안들었습니다 솔직히..! 산걸 후회하긴 했는데요 어깨솟아있는건 그대로지만 잘 입고있습니다! 흰 맨투맨이 심플하면서도 예쁜 옷인거 같아요ㅎ 사고싶으시면 사시는게 좋아요 저는 안에 입은 사진밖에 없어서..죄송합니다ㅠㅠ
thvl**|일단 옷 소재가 정말 우비같은 비닐 소재에요 ㅋㅋㅋㅋ소재가 이래서 정전기가 어마어마한듯 목에 두르는 스카프라도 없었음 증말 이옷은 비추비추에요색상은 후기에서 하도 베이지라고 해서 작정하고 받음터라 그건 별로 놀라지 않았는데 소재랑 핏보고 적잖게 놀랏네요 진짜 소매가 한복마냥 어떻게 입어야할지 난감한데 어떻게든 입어봐야죠 리본끈도 엄청길어요 ㅜ핏은 나름 여성스러워요소재가 싼티나는건 감안하고 신중히 생각하고 사세요!
lkaeun10**|쫀쫀 오짐ㄷㄷ 골반이 좀 넓은 편이라 치마 A라인도 H 되는 수준인뎈ㅋㅋㅋㅋ H 사면 좀 낄때 많은데 쫀쫀해서 그냥 쑥쑥 들어감ㅋㅋㅋㅋㅋ 게다가 데님이라서 좀 걱정도 했는데 지려버력다~~~ ! 고고싱 짱머거란~ ! 너모 예쁘구ㅜㅜㅜ 배송도 이번에는 진짜 빠르고 제주도 가서 잘 입을게연ㅜㅠ
emg25**|진짜 옷이 너무 예쁘고!! 배송도 짱 빨랐어요!!블랙이랑 화이트 고민하다가 블랙으로 구매했어요!!담에 기회되면 화이트도 구매해볼려규요!!고고싱짱!!고민하지마시고 구매하세요!!
codud2**|가격도싸고 너무이뻐서 많이입고다녀요 리본이 있어서 더이뻐보이고 팔목부분도 이쁘게잘되있어요뒷부분이 많이파여있어서 아쉽긴하지만 정말 후회안하고 잘산거같아서뿌듯해요
jassic**|몇번 입어보고 후기씁니다! 처음바지 입었을때 너무 예뻤어요 딱 골반에 걸쳐서 입어서그런지 바지가 자꾸 내려가더라고요ㅠㅠㅠ 그다음부턴 조금 올려입었는데 살이빠져서 허리가 큰것빼고는 다 좋아요! 앉거나 그럴때 편하고 바지에 찢김이 너무 예쁘고 색도 예쁩니다 여러분 고민말고 사세요ㅎㅎ
lkaeun10**|진짜 예쁨!  그리고 같이 구입한 청치마랑도 너무 예쁘고 예전에 고고싱에서 산 가디건이랑도 오져버림~ ! 최근에 좀 쌀쌀해서 목 있는 거 입고싶었는데 넘 예뻐서 기분 좋구ㅜㅜ♡♡ 이번엔 배송도 빨랐음bb 이틀? 가디건 시켰을 땐 일주일 넘었는데 이번엔 빨라서 더 만족스러웠고 내일부터 제주도 가는데 산 옷 입고 기분좋게♡♡ 고고싱 사란헤여..... 한아름송이도...... 좋아해요... 내 추억을 만들어준 아름송이...
1798236493795338**|흰색 이뻐요. 안에 비치는거인줄 알았는데, 보니까 안이 파랑색이네요! 만족합니다 넘 예뻐요 잘입을게용~~ 후드하는게 더 이쁜거같아요고고싱에서 옷 많이 샀었는데 박음 만족스럽고 후드도 똑딱이 5개로 연결되어있네요!ㅎㅎ 만족해요
young93**|이런 컬러바지가 필요했었는데 인밴딩이라 허리도 편하고 천국바지라 또 편하고 길이감도 딱 좋아서 괜찮은거 같아요. 고고싱 자주 이용할께요.
69511757**|가오리핏이라서 어깨부분이 쫌 넓어보이긴하지만 키가큰편이라 사이즈는 잘맞는듯해요...마르고ㅠ작은은분들은 너무 클꺼같여요
young93**|이런 기본적이면서 이쁜 벨트가 필요했었는데 벨트모양도 이쁘고 적당히 도톰해서 만족합니당. 고고싱 자주 이용할께요.
thvl**|생각보다 도톰하더라구요 가격대비 괜찮은거같아요먼지가 엄청 날리고 검은실이 떨어져서 세탁하고 입어야될써같네요 핏도 나름 만족이요!
thvl**|생각보다 도톰하더라구요 가격대비 괜찮은거같아요먼지가 엄청 날리고 검은실이 떨어져서 세탁하고 입어야될써같네요 핏도 나름 만족이요!
69511757**|귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ
69511757**|귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ
69511757**|귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ
1798236493795338**|친구주려고샀어용이뻐요색도그렇고 ㅎㅎㅎ화면에보이는색보다 더 예쁘네요고민하시는분들 추천할께요 예쁜 핑크예요!!!이뻐요
yellowss**|더 작을줄알았는데 생각보다는 조금 컸는데 그래도 딱 적당한 크기인것같아요ㅎ 크로스끈은 처음에 어디걸어야할지 조금 해메긴했네요ㅎㅎ 그래도 가방형태도 잘 잡혀있고 무난하게 잘 들고다닐것같아요ㅎㅎ
69511757**|다자인은 너무 만족스럽고 등치좋은 저에게는 딱인듯 싶어요 ㅎㅎ 소매부분이 바느질마감처리가 거칠게되어서 소매긴티 입자않으면 아직까지 소매부분이 거슬리긴해요~ 새옷이라 뻣뻣한느낌이라서 더그런듯싶네여 만족합니다
young93**|하이웨스트말고 천국바지 같은걸 샀는데 색도 이쁘고 너무 편해서 하이웨스트가 나왔길래 사려고 마음먹다가 드디어 샀는데 너무 편하고 이쁘고 좋아요
yellowss**|아름다운밤 구두 검은색 사서 신다가 너무 마음에 들어서 핑크도 구매했어요ㅎㅎ 이제 봄이니까 검은색보다는 핑크로! 굽이 낮은편은 아닌데도 불편함 없이 잘 신고다녀요>_<디자인도 착용감도 최고예요ㅎ
nari06**|진짜 이뻐용 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 재질도 좋고 너무 얇지도 않구 색도 화면하구 똑같구 크다고해서 걱정했는데 7부도 예쁜 길이로 내려오면서 많이 크지두 않네용 ㅎㅎㅎㅎㅎ 사랑해융 고고싱
ghkrud**|완전완전 좋아요!!! 청자켓 살까 하다가 이거 샀는데 너무 잘산거 같아요 제가 뚱뚱한데도 널널하고 길이도 짧지도 않고 매우 만족스워요그리고 이거는 진짜 1~2일안에 와서 다른거에 비해 배송이 빨랐어요!
