fnzl04**|많이흘러내리는하는데 잘잡으면 이뻐요 ㅋㅋㅋㅋㅋㅋㅋ음 그리고 받쳐입기 좋은데 청자켓이랑 입으면 완전 이쁠거 같아요^^
tpdbs12**|까끌까글할줄 알앗는데 부드러워서 너무 좋았어요ㅠㅠ 길이도 적당하고 팔부분이 예쁘네요ㅠㅜ 이미지 사진 찍을때 입으려고샀는데 평소에도 입고 다녀도 너무 예쁠것같아요!!!! ㅎㅎ
dmsdoend**|너무 이쁘네여 두개 샀는데 적립금도 2배로 주시면 안되나뇸ㅋㅋㅋ 소매가 우선 너무 크고 길어서 처음엔 이상해보였는데 입어보니 이쁘더라구욤ㅎㅎㅎ
dmsdoend**|너무 이쁘네여 엄청 크고 박시해서 입기 좋아요 근데 사이즈표가 좀 다르게 나온거 같아여. 그래도 너무 이쁘네요 잘입으개욤 감사함미등ㅎㅎㅎㅎㅎ
hayoon03**|일단 핏이 이뻐서 좋았구요 슬림할줄알았는데 약간 오버핏이라 통통하신분들도 입을수있어 좋을꺼같아요 라이더자켓 하나 구매하고 싶었는데 고고싱에서 저렴한가격으로 구매해서 좋습니다!
bn1**|어떤 후기에 녹색이 화투치는 이불? 같은색이라고 하셔서짖짜 그럴까봐 걱정했는데 모델컷이랑 색상 완전 동일하구 이쁘네요!! 기분좋아여 ㅎㅎㅎ히검정색 치마랑 같이입으면 더이쁠거같아서 결국 하나 사야게써여 뭐하나 사면 또 뭐하나 사야되고 진짜 ..혼잣말이에야 ㅇㅅㅇㅎ후회안하실거에용 사세요~~~
sandy07**|뚱둥해서 배기팬츠 못입을줄알고 좌절했었는데 옷 너무 마음에 들어요>_<엄마가 라인 잘떨어졌다고 잘샀다고 칭찬하네요ㅎㅎ생애 첫 청배기팬츠 성공적이네요 감사합니당ㅎㅎㅎ
bn1**|옷 재질은 생각했던것과 같구요!리본묶는게 넘 어려워써여.. 생각보다 묶는 끈이 짧았던 ㅠ후기가 없어서 약간 고민스러웠는데 그래도 만족하는 편이에요!모델분과달리 핏이 이쁘게는 안입히는데..이건 제탓이겠져 ㅜ흰셔츠가없눈데 또 사야할까여 ㅇㅅㅇ 하 삶이란..근데 그냥 기본라운드티랑 입어두 쏘쏘..갠차는거같아요!!옷자체는 이쁘네요 ㅎㅎㅎ 어깨끈 박음질이 제대로 안된거 말고는....다좋아용! 리본묶다가 그냥 홧김에 다뜯을까하다 일단 뒀어요 추천합니당 데이트할때 입으세여~~
hmhm1**|좋아요 너무너무 좋아용❤
sally34**|딱 보자마자 귀여워서 바로 구입했는데, 입어보니 바지나 치마를 입어도 잘 어울리는 옷이에요! 아는 분이 보시더니 옷 귀엽다고 칭찬해주셨어요! 잘입겠습니다^^
sally34**|스키니만 고집하다가 이번에 일자바지는 처음 시켜봤는데, 입어보니 딱 맞고 핏도 예쁘게 나와서 완전 만족했어요!!! 완전 강추합니다!!
