kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
gkdlfn60**|저번부터계속살려고햇엇는데미루다가이번에세일한다고해서다른상품들이랑같이구매했습니다품절되거있어서배송이쫌지연이됬었는데요!그런거는어쩔수없는부분이니깐이해를합니다!그래도포장은제대로해주셨으면합니다. 안에니트포장이찢어져있더라고요! 안에있던니트가계속쓸리면서올이풀어져있었어요!쫌만더풀렸으면옷을못입고버렸어야됬어요!포장해주실때신경은쫌써주셨으면합니다!
soloban**|옷은 전체적으로 괜찮았어요! 길이나 핏이나 다 괜찮았는데 가슴 부분에 끈이 전체적으로 뭐가 묻어서 너무 더럽네요.. 뭐랄까 바닥에 떨어져 있던 것 같은 그런 느낌이에요...... 그점만 빼면 괜찮네요 .. 다음엔 좀 더 신경써주시면 감사하겠습니다.
soobini1**|전부터 꽈배기 니트랑 분홍색 니트를 사고싶었는데 뚱뚱해보일까봐 못사다가 싼가격에 제가 도전하고싶었던 분홍색이고 꽈배기니트인 니트가 있길래 고민하다 질렀습니다!! 딱 뜯었는데 생각했던거보다 색깔이 넘 예삐서 혹했는데 입어보니까 걱정했던거처럼 좀 뚱뚱해보이긴했지만 오늘 다시 입어보니까 넘 예뻐서 기분이 좋드라구요ㅠㅠ 진짜 망설였는데 후회없이 잘 산거같아요!!♡ 고민하시지말고 지르는걸 추천합니다 고고싱에서 처음사보는데 이쁜옷주셔서 감사해요 잘입구다닐게요-!-♡ 다른옷들도 차차 후기 올릴게요♡-♡
chhnrg**|화면에서 보는 그대로임 ㅋㅋ 얇긴한데 이너로 입기 괜찮음 ㅋㅋㅋ 베이직 니트 없어서 샀는데 만족함 ㅋㅋㅋ 얇은펀이라 봄에 입어도 좋을듯 ㅋㅋ 추울땐 같이 산 융기모나시랑 입기괜찮을듯 너무 박시한 핏 원하지않는 분들이나 너무 꽉끼고 두꺼운 니트 안좋아하시는 분들 가볍게 입기 좋을듯 가격도 만원도 안하니까 ㅋㅋ 굿굿
tjsrud52**|이뻐요 길이가 살짝 짧은거 같긴한데 심한정도는 아니라서 괜찮아요근데 너무 얇아요..그래도 이쁩니다 색도 마음에 들고요!!
tjsrud52**|저번에 핑크색을 샀었는데 너무 마음에 들어서 연소라 색도 질렀습니다그냥 맣이 안필요해여 다 이쁩니다근데 올이 하나 나갔네요..
skadbw3**|베이지 품절이라 못받은게 천추의 한 사진보다 훨씬 진한 카키에요 근데 넘예쁨 품도 넉넉하도 데일리로 입기좋아용사진 넣는게 넘 구찮아서 안넣지만 이건 완전 혁명 재구매의사 만땅
tjsrud52**|색도 너무 이쁘고 크기도 적당해서 좋아요안에 열어보면 수납공간이 잘되있어서 지갑없이 지갑대용으로 써도 괜찮을꺼같아요
skadbw3**|목폴라 통이 좁고 기장이 좀 짧은편이에요이상하게 접으면 전등갓같음그리고 목부분 접어서 머리넣으세요 쌩으로 넣으면 남 웃음삽니다 색깔갠찮아요 크림도 같이 샀는데 크림색 개구림!
tjsrud52**|다 이뻐요색도 제가 좋아하는 핑크브라운 색상이라서 좋습니당제질 특성상 주름도 안질꺼같아요근데 팔이 너무 기네요..
tjsrud52**|바지가 왤캐 작죠..평소 26입었는데 그때는 넉넉하게 입었어요 근데 이거는 많이 힘드네요..ㅠㅠ그래도 스판이라서 몇번입으면 늘어날꺼같아요키가 엄청 작은데 길이가 복사뼈까지라서 좋아요롤업해서 입으면 엄청 이쁘네요
skadbw3**|배송 올때 엄청 꾸깃꾸깃하게 왔어요 바느질 마감도 마찬가지로 엉망이었고...기장은 무릎뒤 오금까지 딱 오더라고요 따뜩하고 좋은데 재질이 생각보다 좋지 않아요 구김은 다림질하고 하루정도 걸어놨구요 바느질은 개인적으로 싹 마감했더니 예쁘게 잘 됬어요 가격대비 만족입니다배송은 10일 짱느렸어요 옷이 예뻐서 봐줍니다ㅡ
tjsrud52**|색이 너무 이뻐서 좋아요근데 앙고라 니트 특성상 털이 너무 잘빠지네요..그래도 색도 이쁘고 재질도 너무 좋아서 잘 입을께요
skadbw3**|딱귀여운기장인데 바느질이 진짜 안꼼꼼해요 아직 매듭짓지 않은 실도 꽤 있고 거의 맨 위부터 끝까지 제가 따로 꿰매서 마감하고 커팅했어요 그래도 가격에 비해 입을만하긴 입을만해요 저렇게 코디해서 입으니까 우주예뻐요 안감이 도톰해서 팔통이 되게 좁아요 두꺼운 소재의 옷은 안에 입을 수 없어요 팔주름이 아코디언이 되니까그리고 사진엔 제가 이미 커팅해서 없애서 없지만 안쪽에 쓸데없는 단추하나도 있더라구요 팔통 좁고 바느질 마감 안좋고 배송 10일늦은게 안좋은 점인데 가격대비 살만하고 예뻐요 사고나서 조금만 손보면 딱 예쁜 겨울코트에요 도톰해서 웬만한 날씨에도 안춥고요
tjsrud52**|평소에 바지 사이즈 26입는데 생각보다 작아서 놀랐어요그래도 색도 이쁘고 스판이라서 몇번입다보면 편하게 입을 수 있을꺼 같아요
owoa**|생각했던 재질이 아니어서 당황했어요ㅠ 게다가 구겨져서 펴지지도 않고.. 할인하는 김에 데일리로 치마하나 입어야겠다싶어서 샀는데 차라리 돈 조금 더 써서 괜찮은거 살껄 그랬나봐요.. 그래도 이왕산거 구겨진 부분만 어떻게든 펴서 입어보려고요!
young9710**|아주 예뻐요~ 가죽도 부들부들 매끈하고 전체적으로 마감도 잘 되어있습니다. 특히 색상이 예뻐서 계절 상관없이 잘 매고 다닐 수 있을 것 같습니다.
young9710**|아주 예뻐요~ 꽃무늬도 촌스럽지 않구 색상도 예쁘구요키 160에 기장이 적당합니다. 기장이 앞보다 뒤가 살짝 더 길어서 더욱 마음에 드네요~ 다만 허리를 조여주는 디자인이 아니라 단품으로 입었을때는 약간 벙벙한 감이 있지만 가디건과 입으니 예쁘네요! 안감도 잘 되어있구 끝이 살랑거려서 예쁩니다! 만족스럽습니다~
owoa**|입었는데 정말 딱 맞더라구요! 엄마도 잘 어울린다고 그러시고ㅎㅎ 가슴 쪽에서 겨드랑이 쪽으로 살짝 접히는거 빼고는 다 마음에 들어요. 요새 나오는 신상 원피스들이 하나같이 길어서 마음에 안들었는데 그동안 입고싶었던 핏의 원피스를 사니까 너무 좋아요ㅜㅠ 잘입을게요!
owoa**|두께가 어떤지 모르고 당장 입으려고 샀다가 얇은거보고 옷장에 고이 넣어 두었어요..ㅜㅠ 3월쯤 날 풀리면 입으려구요. 핏이랑 디자인이 너무 마음에 들어서 제대로 안보고샀다가 옷장행이네요ㅜㅜㅋㅋ 그래도 얼마안남았으니 그때를 기다리려구요ㅎㅎ!
prettyju**|생각보다 길이가 괜춘하네영 색감은 사진처럼 하얗진 않지만 그냥 아이보리 색이예요 살짝 촌스러 보일 수 잇지만 편하게 입고 친구들이랑 놀러갈 수 잇겟네여ㅎㅎ 그래두 검정 살걸 살짝 후회중이네여 그래도 만족~
qkqdh33**|검정색뿐이라 아쉬웟는데ㅜㅜㅜ 넘나 예쁜것....배송이 좀 늦기도하고 비닐이 뜯겨져있었지만ㅠㅜㅜ 옷은 최고예여!되게 귀염귀염한 핏ㅎㅎㅎ검정색이라서 무난하게 입을 수 있을거같아용~~그래더 냄새가 좀 나서 한번 빨고 입어야겠슴당...
keyma**|겨울이여서 따뜻하고 알바할때 입는 바지살려는데 이바지 보고 따뜻하고 편할거같아서 샀어요 ㅎㅎ 입어보니까 신축성도 너무너무너무너무좋고 따뜻해요! 얇아서 걱정했는데 입고 나가보니까 넘나좋은것,, 꼭사세요 여러분
owoa**|받아서 보자마자 놀랐어요 생각보다 많이 얇더라고요ㅜㅠ 지금 날씨에는 추워서 못입을거같아요.. 아쉽지만 날이 조금 풀리고 3월쯤 입으려구요ㅠ 그래도 이 가격에 디자인이나 재질은 나쁘지않은거 같아요ㅎㅎ 여유가 되면 다른 색깔로도 사입고싶어용!ㅎㅎㅎ
keyma**|겨울 세일해서 10900원인가 샀는데 색도 너무너무예쁘거ㅜㅜ 키가 171인데 딱 예쁜 길이라 너무맘에들어여! 고고싱역시 실망시키지않네요☺☺ 사려는 분들꼭사세여 두번사세여그냥ㅎ너무예뽀요
wldnjs00**|확실히 바지 입고 운동해도 될만큼 편하더라고요 ㅎㅎ 그리고 다들 바지 예쁘다고 해줘서 너무 좋았어요! 잘 입을게요! 감사해요!
