150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
jg0412**|배송은 빨리 왓구요기본 가디건 사고 싶엇는데 디자인이 맘에들어서 삿는데 살짝 두께감이 잇엇어요적당히 몸에 붙어서 깔끔한 거 같아요
clam**|흰색롱치마를 갖고싶었는데 찾다가 저렴한 제품을 발견해서 사게되었는데생각했던것보다 더 이뻐서 만족합니다통통이인 저에게는 조금 딱맞는 느낌이 있긴하지만 불편하지않아서 만족합니다친구들도 이쁘다고 많이 그러네요~~~ 너무 이뻐서 자주입고다니고 있어요 코디하기에도 쉽고 너무 이쁩니다 만족합니다~
jg0412**|배송은 빨랏어요이건 진짜 보자마자존예이러면서 바로질럿는데색깔도 그렇고 디자인도 그렇고진짜 후회안할거같아요
jg0412**|백송은 빨리왓어요보자마자 구매햇는데 직접 받아보니까진짜 후회안할거같아요길이도 적당하고 얇아서 좀 조심히 입어야할거같아요
jg0412**|배송은 빨리왓구요가디건 사고싶엇는데 할인한다고해서바로 삿어요브라운으로 삿는데 어디에도 잘 어울릴 거같아요
genial04**|세일하는 김에 하나 구매했습니다!!코디처럼 실제 가디건으로의 용도보다는 니트로 입는 것이 훨씬 예뻐요!!안에 시스루 블라우스를 매치해서 입었고 A라인 검정색 치마와 코디하였습니다제 체형에는 몸통 쪽이 조금 넉넉한 감이있었어요 조금만 더 품이 작았더라면 더 좋았을것같아요!! 전반적으로 만족스러웠고 어디에나 매치하기쉬울것같아 그레이색상으로 구입하였습니다
rrg1**|여리여리하고 예뻐용 검정색이지만 프린팅이 화려해서 그런가 점 화사해 보이고 근데 옷감이 앞은 색이 쨍한데 뒤는 색이 흐리멍탕하다 해야하나 그래서 프릴쪽이 바람때문에 뒤집어지거나 그러면 약간 흐리멍텅한 그 느낌때문에 살짝 저렴해보이는거 같아요 하지만 자렴하니깐 전 만족합니당
rrg1**|스판이 아주 좋진않고 조금 있네용 제가 살도 좀 쪘지만.. 피가 조금 안통하는 느낌이랄까.. 디자인은 예뻐요!! 길이도 괜찮구
rrg1**|기장감이나 디자인 다 맘에들어용 근데 옷감 소재가 살짝 무거운느낌? 팔부분은 시스루라 괜찮은데 몸쪽이 소재가 도톰해서 그런지 날씨 더운날에 입으면 좀 답답할꺼 같아용
rrg1**|길이가 쪼끔! 길긴한데 이정도는 사이즈 안줄이거 입어도 될꺼같아서 그냥 입으려고용 스판도 짱짱하고 만족스럽습니당
rrg1**|원래 사이즈가220이라 혹시나 했지만 역시나 크네요ㅠㅠ 뒤에 뭐 붙이고 신어야 겠어용ㅠㅠㅠ 사이즈 말곤 다 맘에 듭니당!!
gdongwon1**|지이이이인짜예뻐요베이지구매했는데 모카도구매하려구요치마에입으면정말예쁘고여리여리해보여요재질은 까끌까끌한재질입니다
gdongwon1**|약간 큰편입니다입으면 핏이 a라인으로 떨어져서 딱 예뻐요다른색도 있었으면 구매했을텐데 살짝아쉽네요밑단헤짐만 조금 정리하면될것같아요
rkdms02**|제가 꽃무늬 원피스가 없어서 처음으로 사봤는데 진짜 맘에 들어요!! 특히 허리 밴딩에 끈이 있어서 당겨서 묶으면 허리라인 이쁘게 나오구 밑에 치마단이 살랑살랑? 이쁘게 퍼져요!  무늬도 실물로 봐두 존예입니당♡
ekgp**|일단 디자인이 너무 예뻐요! 깔끔하구 예뻐요ㅎㅎ 핏도 정말 예쁘게 딱 떨어져서 너무 만족하고 있어요!
dbfla91**|사진하고 하나도 안다르고 핏이 개이쁨ㅋㅋ입으면 개청초 여신이 될 수 있음 그대신 얼굴이 이뻐야됨 봄가을에 딱 어울림
thfquf**|핏도 완전 짱이에여 ㅎㅎ 스판도 있어서 입기편해요
dbfla91**|평소에 밖에 나갈 때 간단히 걸치고 나감루즈핏이고 모자 있는게 이쁜데 계속 떨어짐ㅡㅡ 그래서 걍 빼고 다님
dladpfls1**|진짜예뻐요ㅜㅜㅜㅜㅜ 색이 저렇게 갯노란 색이 아니라 겨자색이러 좀 실망햇어요ㅠㅠㅠ 그리고 가슴이 진짜 보일거같아서ㅜ전 클립으로 고정시켜서 입엇는데 그래도 이뻐서 좋아오ㅠㅠ
dladpfls1**|색이 어떻게 보면 톤 다운된 빨강인데 예뻐요! 바지치마 다잘어울리구 길이감도 잇어서 전 좋았어요! 길이는 161기준 허벅지 삼분의 일 만큼 오는거같아요!!! 편하게 입기조ㅗ아오 ㅎㅎ
clickab**|리뷰가 많은데는 이유가 있는 것 같아용 속바지가 딸려있어서 완전 편하고 생각보다 주름 지는 건 안 심해요
clickab**|데일리로 입을 검정양말 필요했는데 저렴하게 잘 산 것 같아요 다음에는 흰색으로 또 사야겠어용
clickab**|수학여행 때 입으려고 시켰는데 배송 빠르게 와서 잘입었어용 오프숄더는 처음인데 어깨만 나와서 딱 이뻤던 것 같아용
26567795**|이런 블라우스 반팔이 있는데 얘가 훨씬 예뻐요 얘는 레이스 카라도 있고 리본끈도 있어서! 밝은 치마에 잘 어울리네용 근데 팔은 긴팔인데 외투없이 입으면 좀 추워요...거의 민소매나 마찬가지 ㅋㅋㅋ
26567795**|넘 예쁘네요,,, 세일해서 샀는데 만원대 초반 실화? 리본 예쁘게 묶는게 어렵고 리본에 구김이 잘 가긴 하는데 블라우스 너무 예뻐요 다른거 다 품절되고 레드만 남았는데 왜지?? 레드가 젤 예쁜데... 완전 기본템인 검정 치마에 코디하기 딱! 다른 블라우스는 어울리는 치마가 없어서 고민인데 얜 그냥 기본 검정치마에 잘 어울리니까 좋네요 ㅎㅎㅎ
girl23**|여리여리하고 이뻐요ㅎㅎㅎㅎ오프숄더로 입어도되고 구냥 올려입어도 되지만오프숄더로입는게 훨씬이쁜것같아요!얼른 날씨가 더따뜻해져서 입고싶어요오오옹
26567795**|여기서 산 블라우스랑 같이 코디했는데 예쁘네요 이 가격에 이 퀄이라니...! 귀찌라고 추가 가격도 안 붙고... 귀찌 많이 팔아주세요♥♥ 근데 약간 조이는 것 같긴 한데 예뻐욤
qbxl06**|이거 진짜 예뻐요ㅠㅠㅠ 이거 입고 데이트한 날 남자친구가 진짜 예쁘다고 해줬어요!!! 구김이 잘 가서 한번 입을 때마다 다리미질을 해야하긴 하지만 그 귀찮음 덮을 만큼 예뻐욬ㅋㅋ 재질도 얇고 헤지는 그런 거 아니고 꽤 좋고 허리끈 묶으면 진짜 예뻐용 다른 색도 품절 아니었으면 샀을 거예요ㅠㅠ 고민하는 분들 걱정말고 질러요~~~~~ 159에 무릎정도 왔어용!!
wkddkfma74**|다른 분들 후기대로 예상은 했지만 처음에 구김이 너무 심해서 그냥 바로 입지는 못했어요.. 꼭 다려서 입으시길 추천하구요. 생각했던 것보다 훨씬 흐물흐물한 느낌이라서 잘 다리셔야 자켓 느낌이 나요. 길이는 엉덩이 덮는 정도로 적당했고 소재도 흐물흐물한 만큼 시원해서 한여름이 아닌 이상 초여름까지는 입고 다닐 수 있을 것 같아요. 색상도 맘에 들고 가격 대비 만족합니다.
girl23**|이뻐요ㅎㅎㅎㅎㅎ근데 엄청얇아서 잘못힘주면 찢어질것같은느낌...?그래서 조심조심 입어야할것같아요ㅋㅋㅋ얇아서 그런지 정전기도 잘나서 팔에 달라붙는게 좀 있지만 여름에는습해서 괜찮을것같네용
wkddkfma74**|일단 색상은 정말 잘 빠졌고 왜 인기 있는지 알겠더라구요. 보이핏으로 넉넉하게 입고 싶어서 L 사이즈 주문했는데 키가 많이 작은 저에게도 그렇게 길지 않아서 한번 가볍게 롤업해주면 딱 좋았어요! 하이웨스트이지만 많이 부담스럽지 않은 정도로 올라오고 신축성이 좋은 편은 아니지만 사이즈가 넉넉해서 편하게 입을 수 있어요!! 진짜 강추템입니당~
wkddkfma74**|벨트를 고를 때 얼마나 탄탄한지 구멍 갯수가 적당히 많이 있는지를 중요하게 보는데요. 굉장히 튼튼한 소재였고 구멍도 충분히 많이 있어서 만족해요~
