wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
yewon01**|색깔이진짜마음에들어요~ 말이브라운이고 솔직히 카키색상이긴한데 오히려 이색상이 더예쁜것같아요~ 따뜻하기도하고 올가을에 걸치기딱좋은듯해요~
yewon01**|약간길이가짧긴한데 그래도엄청 마음에들어요~ 리본도예쁘고 포인트로좋은것같아요~ 길이가중요하신분들은 M자사는것도 좋은것같아요
kjsc**|여성스럽기도 하면서 캐주얼하게 입을 수 있구,가격대비짱이에요!청바지에 입어도 예쁘구 슬렉스에 입어도 잘어울려요ㅎㅎ제가 찾던 스타일이라 구매만족합니당
yewon01**|길이도딱좋고 색도예쁘고 재질도좋고 진짜마음에드는니트에요~ 키가작아서 약간짧은기장의 니트를 원했는데 딱사이즈도 제가원하던사이즈라 너무좋아용 ♡
kjsc**|배송은 쫌 구겨져서 왔지만 머스타드색을 원했던거여서 딱 제가 찾던색이었어요ㅡ칙칙하지도 않구 사진과 같습니다ㅎㅎ팔길이도 적당해서 요즘에 입기 딱이에요!
kjsc**|색상이 제가 원하던 색이에요!모직소재여서 따뜻하구 귀엽게 입기 딱이구요ㅎㅎ길이도 짧은 편이 아니어서 괜찮아요!많이 신경쓰이지 않구~요즘에 입기 딱좋아용ㅡ겨울에도 예쁘게 입을 수 있을것같습니당!잘입을게요
binnie05**|코코아 롱가디건 로망이었는던 드디어샀네요 키작은 저한텐너무길긴한데 모양은진짜이뻐서 맘에들어요ㅎㅎㅎㅎㅎㅎ
kjsc**|너무 귀여워요ㅎㅎ주머니까지 있어서 코디하기도 무난하구요!겨울에 따뜻하게 입을 수 있을 것 같아요~코트안에 입어도 어울릴것 같구,어디에나 무난히 받쳐입기 딱이에요!예쁘게 잘 입을게요^-^
binnie05**|네이비완전이뻐요ㅋㅋㅋㅋㅋ진짜기대이상이에요 다들강추에요이건진심으러 딱무난하게 유행안타게입을수있는?키가작은편인데 그렇게길게내려오지도않고적당해요
binnie05**|카키 색완전이뻐요!!강추ㅋㄲㅋㅋ지금같은 가을날씨에입기좋은 두께에요 겨울에는 입으면 살짝추울두께?그래도만족해요
binnie05**|기대이상핏이에요 ㅋㅋㄲㅋ그냥딱 무난하게 청바지에도잘어울리고펑퍼짐하건 보이지않아서 좋아요 다른색도 사고싶네요
binnie05**|딱기본나시인데 ㄱ가격대비 엄청 싸구려같지도않고 괜찮네요 앞으로종종 사도될거같아요색도 블랙 차콜 다 무난해요 ~
kpj05**|공부하러 자습실 갈때 입으려고 샀어용 손목쪽이 짱빵해서 좋은것같아요 겉에 재질도 부들부들하고 안에 기모도 따듯해서 좋아요! 다른 후드들과 다르게 끈도 없고 주머니도 없어용
kpj05**|색이 이쁠것 같아서 샀는데 그럭저럭 괜찮아요! 근데 모델이 입었을때는 목부분이 괜찮아 보였는데 제가 입으니깐 너무 답답하고 목이 너무 긴것같아요ㅎ아무래도 저랑 목폴라는 안 맞는것같아요...
kpj05**|검정색 니트가 없어서 샀는데 고고씽이 제일 싸고 가격대비에 비해 제일 좋은걸 같아요 길이도그렇고 너무 얇지도 않고 가격에 딱 맞는것같아요 청바지에 입으면 진짜 이쁠것같아요
ahngulg**|그냥 기본 맨투맨이에요 ㅋㅋㅋ기모는 없고 그냥 면인데아직은 날씨가 괜찮아서 입고 다녀도 좋구목도 짱짱해서 좋아요 !!
ahngulg**|카키색으로 샀어요두툼한게 겨울에도 입을 수 있을거 같아요면이 빛나는 거 같다는 후기도 잇엇는데제건 뭐 별로 그렇지는 않은거같아요 잘입을게요
ybyb04**|너무너무 예뻐요 ㅠㅠㅠ 진짜 잘 산 것 같아요 다만 냄새가 좀 많이 심하다는 것 빼곤.. ㅎ 어떤 분이 후기에 원래 사이즈보다 좀 큰 것 같다구 해서 한 사이즈 작게 시켰는데 작아요 ㅠㅠㅠㅠ 진짜 교환하고 싶은데 급한 일이 있어서 그냥 신으려구요 .. ㅠ 근데 신발 자체는 너무 예뻐서 맘에 들어용-♡
ahngulg**|ㅋㅋㅋㅋㅋㅋㅋㅋㅋ고맙습니다...와이어도 없고 완전 편한듯 해요짱이에요,,,, 스킨색으로 삿는데 아주 좋아요
ahngulg**|으아아악 이거 진짜 이뻐요!!!!!저는 코코아색 삿는데와 이거 진짜 ㅋㅋㅋㅋ 키가 작긴한데 그렇게 길게 느껴지진 않아요 좋아요
pcpc**|그냥입으면 좀큰데 접어서입으니까 이쁜거같아요 체크도 촘촘하고 제질이 뭔가 종이??? 같다고해야하나 부드러운 재질은 아니였고 슬랙스랑같이샀는데 슬랙스에 입으면 갠찬을거같아용 맘에듭니다~
ahngulg**|이너로 아무데나 넣어 입기 좋은 거 같아용~역시 고고싱 짱짱그렇게 얇지도 않고 괜찮은듯합니다많이파세용ㅎㅎㅎㅎㅎ
pcpc**|입어보고 약간당황했는데 이렇게 큰건줄몰랐어요 팔도 완전크고 길이는 길거라는건예상했는데 예상보단 좀더길었던거같아요 전체적으로 너무커서 이거는 니트안에나 받처서 입어야댈거같아요
ybyb04**|요고 ㅎㅎㅎ 원래 끈으로된 동글이 벨트 샀었는데 쇼핑하다가 너무 예뻐 보여서 하나 골랐어요 ㅎㅎ 처음에 끈이 좀 짧은 것 같아서 당황했는데 차보니까 짧지않고 적당해서 좋았어요 !무난한 옷에 포인트 주기 좋을 것 같네요 ㅎ ! 그렇게 튀지도 않아서 어디에 매치 해도예쁘고 여기저기 잘 쓸 것 같아요 !
pcpc**|1+1헤서 남색이랑 검은색샀는데 배송이좀오래걸렸어요ㅜ 수요일날시켜서 다음주 월요일에왔거든요 근데 일요일에 배송보냇다는 문자오고나서 월요일저녁에왔어요 이점은 맘에들었던거 같아요 제가 키가작아서 걱정을많이했엇는데 입어보니까 좀길긴한데 접거나 수선맡기면댈거같아요 그렇게 꽉끼지도 않고 갠찬은거같아요 근데 종아리가 좀꽉끼네요ㅜㅜ 저만그런건가.. 쨋건 옷이뻐요 좀입다가 살뻬고 다시입어봐야겟네요 ㅎ
an04**|전 옆트임만보고 주문했는데 받고 보니까 소매도트임이있네요그래서 더 맘에들어요기장은 짧은편인데 트임이있어  커버해주네용 예뻐요예뻐요잘산거같아요 다른색도주문하려구요
an04**|바지가 신축성하난 최고에요면도아닌거같은게 쫙붙으면서 깔끔하기도하고 .근데 너무얇구...  먼가좀아쉽네요ㅠ
ybyb04**|이거 ㅠㅠㅠ 배송이 좀 느리긴 했는데 예뻐요 ㅠㅠㅠㅠㅠ 딱 제가 원했던 스타일 !  배송올 때 구김이 좀 있어서  다시 빨고 널었더니 사라졌어요 !! 제가 원래 랩 치마바지 좋아해서 많이 사는데, 요고 잘 산 것 같아요  ! 블라우스랑 입으면 예쁠듯 ♡  나중에 보풀 생기면 다시 사야겠어요 ♡!♡
ybyb04**|배송을 좀 늦게 받았지만 그래도 나름 만족해요 화이트 구매하신 분들 많은데 저는 핑크가 너무 예뻐보여서 샀거든요 ㅠㅠ 색상도 인디핑크정도여서 가을에 가디건이랑 입기 좋을 것 같네요 ♡ 생각보다 목 부분이 많이 파이긴 했는데 입는데 지장있을 정도는 아니에요 가격대비 만족합니당♡
