zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
qhtjr33**|역시 후기가 많은 이유가 있었네요! 가디건 색깔도 맘에 들고 완전 이뻐요ㅎㅎ옷 자체가 좀 크긴하지만 저는 넉넉한거 좋아해서 괜찮았어요. 두꺼운 소재가 아니라서 자주 입을것같아요~
jyk09**|적당히 파여서 좋아요여름에 시원하게 흐물흐물한 재질 사고 싶었는데 딱맘에드네요좋습니다
jyk09**|끈 조절 할 수 있어서 좋아요모델처럼 딱 핏되는 건 줄 알았는데좀 펑퍼짐 하네요 그래도 예뻐요
jyk09**|흰 아이보리인줄 알고 샀는데 누리끼끼한 그냥 노란색이네요     흰색이면 예뻣을 것 같아요
qhtjr33**|일단 배송이 넘 빨라서 놀랐어요ㅋㅋㅋ 진짜 최고! 옷도 기대이상으로 예뻐요. 제가 키가 좀 큰데도 발목 위에까지 오더라구요.  옷에서 약간 특유의 냄새같은게 나긴 하지만 완전 만족해요ㅎㅎ
gksthf17**|신축성이 엄청 좋아서 입었을때 편하고 팔 길이도 적당하니 너무 좋은거 같아용!!! 이뻐서 두개나 샀아요
tlskwin**|무지티가 너무 필요했는데 짱 좋아요 제질도 좋아영
hj123**|색감도 사진이랑 거의 똑같고 진짜 이쁩니다! 하늘하늘한 블라우스 하나 사고싶어서 샀는데 매우 만족중이에요! 생각보다 조금 더 파여있어서 조금 당황하기는 했는데 진짜 이쁘긴 이뻐요ㅠㅠ!! 처음에 리본 묶는 부분이 엄청 꼬여있어서 당황하긴했는데 나중에 되면 풀리겠죠...?
thdwlals3**|딱 봤을 때 꽃무늬도 예쁘고 반팔 같은 느낌이 마음에 들어서 고민안하고 바로 주문했어요. 별로 기대를 안해서 그런가 주문한 원피스 중에 제일 마음에 드네요!!! 괜찮은 가격에 예쁜 옷 얻어서 너무 좋아요!!!♡
thdwlals3**|블랙원피스는 많은 것 같아서 색다르게 베이지 색으로 주문했어요. 옷은 화면이랑 똑같은데 생각보다 많이 비치네요! 안에 나시를 꼭 입어야 할 것 같아요!
thdwlals3**|후기가 너무 좋고 원피스가 너무 예뻐서 안살 수가 없었어요ㅠㅠ배송은 생각보다 빨랐어요! 하늘하늘하고 길이도 예쁘고 안 샀으면 후회할 뻔 했어요!
rusy11**|완전완전완전 존예에요ㅠㅠㅠㅠ검정색 트렌치코트에 코디하면 예쁨 +++고고싱 원피스는 언제나 이쁜듯해요ㅠㅠㅠ다음에 다른 원피스도 구매할게요~
rusy11**|흰색보다는 검정색이 무난하게 더 잘입을수 있을거같아요!요번주부터 더워지던데 여름에 반팔에 코디 해보고 괜찮으면 입고 다니려구요~
