wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
juju44**|치마 핏이 예뻐요!! 길이도 짧지 않고 화이트 색상을 주문했는데도 비치지 않아요 그리고 생각보다 두께감도 좀 있고요 완전 얇은 천은 아니에요~~ 허리가 약간 큰 감이 있긴 하지만 상의 넣어 입으면 허리도 맞을 것 같네요ㅎㅎㅎ 완전 만족합니다.
hongkj8**|평소 검은 코트를 사고 싶었는데 막상 사자니 괜찮은 디자인은 없어서 못사고 있었어요. 그런 와중에 이코트가 유일하게 마음에 들어샀는데 역시 예쁘네요. 길이 걱정을 제일 많이 했는데 코트자체가 부한느낌이 없는터라 키작으신분들이나 키크신분들 모두 잘맞을것같아요ㅎㅎ잘입을게요
jcandyy4**|사이즈가 라지밖에 안남아서 어쩔수없이 샀는데 넘커서 수선해서 썼네요 ㅋㅋㅋ근데 질은 진짜좋아요 가격대비 짱짱 롱원피스필요하던차에 잘산거같아요 이쁘고 색감도 좋고 따뜻해요 코트두께만큼 두꺼워서 좀 날씨풀리면 이 원피스만 입어도 좋을꺼같네용ㅎㅎ
hongkj8**|평소에 목폴라티를 즐겨입는데 크림,흰계열 색상이 없어 구매를 하였는 데 가격 이상의 퀄리티에 만족했어요. 너무 막 두꺼운 두께의 니트는 아니라 지금 날씨에 딱 입기 좋을 정도이더라구요. 색상도 화면이랑 같네요ㅎㅎ. 무튼 이번에 산 코트랑 잘 입을게요ㅎ.
codbszhfl**|진짜레알인생템추천 목도너무편안하게감싸지고 길이도 너무 적당하고 크기도 적당하게 너무 부해보이지도않고 맨날맨날입고싶어요ㅠㅠ 비싸다고해서 겁나게 고민고민하다가 산건데 역시 비싼건 뭔가 다르구나 하는 느낌..? 진짜 완전좋아요
tlsdbwks**|사이즈가 245인데 245샀더니 약간 컸어요!좀 두꺼운 양말 신어야지 맞더라고요!근데 신발이 무난한게 이뻐서 치마입어도 잘어울리고 어떤 옷을 입어도 잘어울리더라고요 가격도 아주 만족스러웠습니다!키도 더 커보이기까지 하네요
tlsdbwks**|제가 워낙 몸집이 있는 편이라서 낄까봐 걱정되었는데 생각보다 넉넉하고 날씬해보이고 되게 따뜻해서 놀랬어요!가격도 저렴하게 사고 보풀도 잘 안일어나고 요새 이것만 입고다녀요!어디에 입어도 코디가 다 잘어울리기까지해서 너무너무 좋습니다!
chaeeun02**|조아용오오오오오오오오오오오오오오오오오!!!!!!!!!!!!!!!!!!!! 꼭사세요;-)색감도 너무너무너무너무이쁘고 사이즈도 딱맞아요~~~~~~~~!!!!!!!!!!!!! 앞부분보다 뒷부분이 길어서 조금 별론데 너무이뻐요~
sas41**|치마 너무 귀엽네요~ 옆부분만 살짝 포인트를 줘서 그런지이쁘네요~ 레드 색상으로 구입했는데 입엇을때 핏도이쁘고귀여운느낌이 많이 나서 좋네요~ 색상도 이쁘고검은색으로 사도 이쁠것같아요~ 전체적인 길이감도 괜찮은것같아요~ 잘입을게요
sas41**|이쁘네요~~ 카멜색상 코트 하나 구입하고싶었는데이쁜 코트 갖게 되었네요~그리고 겨울에 입기 정말 따뜻하고 기장도 괜찮고핏도 이쁜것같네요~ 덕분에 따뜻한 겨울 날수 있을거같네요~ 다음겨울에도 여기서 코트 구입해야겠어요 잘입을게요
k024**|배송은 좀 늦었던 것 같아요. 하지만, 옷은 괜찮았어요. 요즘 계속 입고 다녔는데, 더울정도로 따뜻했어요. 근데 주머니 단추가 떨어져있더라구요 ㅠㅠ 반품하기는 이미 기다린시간도 좀 있고 그래서 안했는데 ... 저거만 빼면 완벽한 것 같네요 ㅠㅠㅠ 다음에 보내실때는 저런거 확인 좀 제대로 하고 보내주셨으면 좋겠네요
gangegir**|귀여워요근데생각보다는안이뻐욘ㅠㅠ색상을다른걸루살걸그랫나봐요너무하얀색이라서그런지많이안이뻐요다른색상으로하나더살생각입니다아이보리는완전흰검이기때문에조금어두운색상으로사는게이쁠거같네요그치만잘입구다닐께욘!
gangegir**|많이얇네요생각보다...하지만옷은이쁘네요아이보리색샀지만다른색상도사야겠어요간편하게봄이나가을에입기좋을것같네요옷핏도이쁘고이제날씨풀리면입고다니려구요옷도튼틋한거같습니다아이보리색도그냥하얀색같아요잘입을께요
alsgp54**|고고싱은 일단 배송이 빨라서 좋아요ㅋㅋ 무스탕이 얇아서 가볍기는한데 조금 추워영 ㅠㅠㅋㅋ 지퍼는 뻑뻑해서 잘 안잠기지만 똑딱이가 있어서 별로 신경은 안쓰이구여 ㅋㅋㅋ 근데... 두번입었더니 똑딱이 한개가 떨어짐.. ㅠㅠㅋㅋㅋ 실로 꿰맬수있는게 아니라... 실리콘으로 붙혔네여 ㅠㅠ 내구성이 좀 약한가봐여ㅠㅠㅋㅋ 그래도 싸게 산거라.. ㅋㅋ 디자인은 맘에들어여 ㅋㅋ 색상이 잘나온듯 해여 ㅋㅋ
rjawjdtne**|이치마 진짜 이뻐요...세상조녜...허리라인이좀 남긴 한데 니트같은거 넣어서입으면 아무도몰랗ㅎㅎㅎ 그냥 존예ㅇ에요. 두번사요. 세번사요. 느낌도 조뮤두께감있는 모직?같은거라서 겨울에도 안추워보여요!! 이쁘게잘입고 있습니다
sej9803**|제키에 길줄알았는데 딱 적당한 길이라서 매우 만족하면서 입고있어요~ㅎㅎㅎㅎㅎ 네이비라서 그런지 어디에나 잘 어울리고 생각보다 따뜻해서 좋네욯ㅎ 가격대비 완전 잘산것같아요  한가지 아쉬운 점은 주름이 좀 져있는거네요ㅠㅠ 역시 고고싱 짱 ㅎㅎ
500899323422769**|사진처럼 박시해요!! 근데 소매가 팔목을 꽉 잡아 줘서 단추 풀고 입는 게 편해요 그래도 예쁩니다   앞 단추도 잠궈도 풀어도 다 캐주얼 해 보여서 자주 입고 있어요! 얇은 소재라 봄이나 초여름에도 입을 수 있을 것 같아요 일단 박시한 게 제일 마음에 듭니다
gangegir**|새거라서그런지발목이조금아프긴한데요모양은이뽀용히히잘산거같아요정사이즈로샀고딱맞네요워커힐안그래도필요했는데고고싱에서저렴하게살수있어서좋았구요잘신을거같아요봄여름가을겨울!이쁘게잘신을께요발목만주의해서신으면되겠네요!
500899323422769**|사진 찍을 여력이 안 돼서 글로 남깁니다!! 160인데 허벅지 반 정도 오고요 제일 처음 배송 왔을 때 꼬깃꼬깃해서 세탁소에 스팀 다림질 맡기고 입었는데 세탁소에서도 천 되게 좋다고 하셨어요!! 보들보들하고 누빔 들어가 있어서 지금 입어도 괜찮습니다! 엄마듀 맘에 드신다고 다음에도 또 여기서 사라규 하셨어요
tlsgkdnjs1**|이거 진짜 이뻐용 모델분이 입으신거처럼 진그레이 색에 청바지 입고 가방도 저런거 매고다니면 정말이뻐요가을에 입으면 이쁠꺼같아용 러블리한거 좋으시면 핑크색 입으시고 데일리룩으로 입으실 분들은 아무색으로 입어도 이쁠꺼같아용가격도 싸고 품질도 좋고 믿고사보세요~~~~
skgmlsp11**|제가 코트가 없어서 코트를 구매하였는데 진그레이가 있었으면 더좋았을것 같은데 카키색도 충분히 만족해요이번에 할인덕분에 더 싼 가격에 구입해서 너무 좋은것같아요!입어보면 되게 두터운?느낌이 들기도하고 길이도 적당해서 코트지만 예상한 코트가 아닌 되게 따뜻하고 안정적이라 너무 좋은거같아요~다리도 어느정도 가려줄 수 있어서 다리가 시려운것도 70~80퍼센트정도 막을 수도 있는듯해서 되게 만족하는 아이템입니다♥잘입고 다닐께요!이번구매에 만족한점은 옷도 만족하지만 상담원분의 상냥한 상담덕분에 안심하고 기다릴 수 있었던거 같아요ㅎㅎㅎㅎ너무 감사하고 다음에도 꼭 이용하겠습니다
opui10**|신축성이 굉장히 좋아요! 지퍼가 잘 안되서 조금 아쉽고 치마가 많이 떠서 안올라가나 잘봐야하는 문제점이ㅠㅠ 그래도 이쁩니다!
